date,open,high,close,low,volume,amount
2007-07-02,3912.5679999999998,3993.114,3958.039,3866.634,175473231,2889192868
2007-07-03,3986.0959999999995,4037.508,4026.54,3963.094,173924100,3093882387
2007-07-04,4038.317,4108.887,3986.7659999999996,3960.4179999999997,155867000,2871435349
2007-07-05,3926.1240000000003,3942.7070000000003,3803.8990000000003,3798.76,208091400,3302573939
2007-07-06,3787.007,3989.525,3971.382,3720.3579999999997,223656600,3659162868
2007-07-09,3993.131,4154.87,4136.04,3977.836,276275500,5250100196
2007-07-10,4124.878,4170.264,4052.2740000000003,4040.6240000000003,212711300,4267047339
2007-07-11,4024.948,4103.63,4092.833,4003.337,181522300,3339269249
2007-07-12,4098.307,4131.447,4121.277,4058.8390000000004,253448600,3996889628
2007-07-13,4116.242,4141.587,4108.1759999999995,4058.645,168034700,2757948454
2007-07-16,4112.857,4127.444,3999.446,3994.985,149428500,2469750975
2007-07-17,3977.0009999999997,4096.986,4067.55,3940.748,126277200,2193139477
2007-07-18,4069.414,4096.189,4045.219,4006.118,161717100,2672889883
2007-07-19,4034.5879999999997,4044.85,4001.441,3973.928,139470700,2380234022
2007-07-20,4004.884,4109.414000000001,4108.444,4002.2209999999995,202688600,3527551432
2007-07-23,4129.279,4341.305,4339.849,4129.279,346027500,6165939266
2007-07-24,4371.96,4389.12,4316.767,4314.358,279176100,5011170893
2007-07-25,4314.694,4507.157,4496.134,4313.9890000000005,327079400,6663126615
2007-07-26,4536.992,4570.86,4520.924,4476.263,288258700,5510087304
2007-07-27,4490.519,4674.8009999999995,4636.588,4433.123,312824100,6243004751
2007-07-30,4634.165,4880.734,4871.0779999999995,4631.462,376732400,7448056770
2007-07-31,4875.49,4978.91,4868.092000000001,4802.513,296625700,6410885872
2007-08-01,4876.612,4894.964,4684.532,4652.434,336686500,6738112454
2007-08-02,4705.251,4877.185,4869.208,4705.251,281154700,5701884293
2007-08-03,4930.217000000001,5018.834,5014.252,4930.217000000001,423191100,8211982962
2007-08-06,5052.893,5079.737,5016.867,4935.859,298986600,6124060198
2007-08-07,5026.273,5226.021,5140.272,4966.661,488345600,9933404513
2007-08-08,5080.925,5080.925,5024.679,4910.2570000000005,278126200,6107164931
2007-08-09,4989.23,5071.067,5048.429,4989.23,256321500,5378258219
2007-08-10,5042.032999999999,5055.674,4981.35,4900.981,123710600,3101407277
2007-08-13,4982.61,5012.044,4938.525,4853.121,417984900,7808061757
2007-08-14,4948.319,5103.891,5056.633,4945.728,300551400,6037422724
2007-08-15,5074.994000000001,5088.8640000000005,5019.446,4921.988,254411500,5006024797
2007-08-16,4988.969,4988.969,4935.997,4864.677,255099100,4937641604
2007-08-17,4919.244000000001,4976.439,4832.584,4810.707,242750500,4813452748
2007-08-20,4939.558,5112.166,5109.9890000000005,4932.559,276600000,5879060277
2007-08-21,5137.418,5149.166,5083.544,5042.5070000000005,294170600,6026689433
2007-08-22,5005.863,5136.932,5115.027,4981.685,243564700,5083443286
2007-08-23,5126.407999999999,5266.33,5264.866999999999,5100.444,282318100,6242811386
2007-08-24,5317.387,5471.88,5387.056,5315.954000000001,336121000,7576373011
2007-08-27,5416.439,5481.785,5424.078,5392.2609999999995,337040100,7323497559
2007-08-28,5396.276999999999,5557.795,5465.592,5322.0,340582900,7331448962
2007-08-29,5409.685,5481.313,5374.996,5342.0380000000005,285658600,6513503256
2007-08-30,5381.2609999999995,5458.194,5417.061,5330.768,211670600,4749091471
2007-08-31,5431.185,5629.11,5625.353,5417.286999999999,257403400,6042930066
2007-09-03,5702.743,6010.609,6005.379,5702.743,371774700,9728938465
2007-09-04,6030.509,6093.432,5983.137,5931.0830000000005,419429800,9542989041
2007-09-05,5962.420999999999,6224.138000000001,6151.516,5941.404,362364900,8437095964
2007-09-06,6173.303000000001,6277.621,6219.071999999999,6117.755,275115600,6355766196
2007-09-07,6210.196999999999,6211.621999999999,6093.218000000001,6065.5740000000005,324762000,7599289047
2007-09-10,6010.803000000001,6068.853,6059.214,5904.361,230826600,5169114426
2007-09-11,6077.979,6284.134,5789.236,5767.808000000001,280612600,6749514828
2007-09-12,5786.666,6004.539000000001,6003.835999999999,5778.691999999999,288313100,6789825966
2007-09-13,6068.1669999999995,6402.262,6401.075,6068.1669999999995,266906700,7226609899
2007-09-14,6499.045999999999,6559.765,6501.174,6413.5869999999995,288145000,7748367076
2007-09-17,6493.696999999999,6638.986999999999,6612.996999999999,6468.816999999999,274729800,7039534538
2007-09-18,6636.234,6680.783,6591.103,6494.121999999999,239778200,6064393927
2007-09-19,6600.19,6960.893,6876.9619999999995,6573.438,455546700,10834376905
2007-09-20,6853.953,7040.221,6982.909000000001,6808.795,288701500,7693217256
2007-09-21,6990.138000000001,7216.0380000000005,7164.965999999999,6959.62,361639400,9172195684
2007-09-24,7225.642,7406.118,7271.328,7225.642,339844600,9272498475
2007-09-25,7250.214,7250.214,6916.188,6878.545999999999,224417500,6774075108
2007-09-26,6842.571,6976.1990000000005,6703.148,6660.553000000001,182934300,4999562765
2007-09-27,6695.378000000001,6927.6269999999995,6926.736,6695.378000000001,143508200,4281401588
2007-09-28,7017.875,7254.2880000000005,7193.464,7017.875,226276000,6348939459
2007-10-08,7353.361,7374.215999999999,7184.981,7039.811,236850900,6737453833
2007-10-09,7168.052,7168.052,6963.026,6907.358,221480000,6515757306
2007-10-10,6982.523,7224.7080000000005,6984.406999999999,6936.195,262969100,7957449392
2007-10-11,7008.6759999999995,7190.0,7178.467,6885.632,355827700,10028932561
2007-10-12,7266.936,7347.5869999999995,7293.9259999999995,6931.29,597349200,15857211015
2007-10-15,7315.868,7594.548000000001,7511.783,7282.291,452145900,13076333414
2007-10-16,7522.444,7699.968000000001,7630.0380000000005,7403.446999999999,407215700,13066584594
2007-10-17,7624.677,7813.899,7740.518,7422.948,360221800,10685187368
2007-10-18,7704.821,7759.184,7359.632,7354.906,320627100,9250355417
2007-10-19,7459.478,7546.460999999999,7323.689,7164.028,210597600,6032049794
2007-10-22,7174.759,7225.232,6932.203,6914.55,198670200,5724854601
2007-10-23,6889.664000000001,6987.279,6915.346,6621.06,307183000,11660613856
2007-10-24,6973.334,7339.531999999999,7269.3330000000005,6928.469,371208000,13550057036
2007-10-25,7201.019,7201.019,6814.86,6775.945,376872700,12635707447
2007-10-26,6684.928000000001,7029.21,6934.82,6595.855,249111800,8151578571
2007-10-29,6972.65,7100.818,7058.142,6876.225,231482400,8444517642
2007-10-30,7107.214,7388.659000000001,7365.854,7028.8,285353800,10413059925
2007-10-31,7515.526,7562.634,7314.68,7255.443,333068400,11365099794
2007-11-01,7524.061,7711.525,7568.765,7524.061,419594500,13838277631
2007-11-02,7410.991999999999,7637.01,7514.508000000001,7310.392,380810000,12963178077
2007-11-05,7536.225,7570.584,7027.234,6976.925,391975300,12722603310
2007-11-06,6855.312,6939.826,6678.446,6624.365,264382400,8187189312
