date,open,high,close,low,volume,amount
2007-07-02,2371.812,2423.842,2421.552,2319.549,277631900,1846002971
2007-07-03,2434.199,2438.028,2411.5,2367.343,203100000,1428355990
2007-07-04,2424.099,2435.511,2367.993,2360.896,160355400,1075783009
2007-07-05,2342.41,2365.307,2258.561,2242.671,215939600,1360718840
2007-07-06,2254.889,2341.265,2331.458,2223.693,169225100,1108685709
2007-07-09,2339.314,2372.407,2350.349,2320.095,148387600,1089708733
2007-07-10,2349.056,2354.803,2303.304,2296.704,135339300,950236785
2007-07-11,2309.644,2349.623,2338.216,2293.826,99512700,803868894
2007-07-12,2330.737,2341.459,2327.349,2301.968,96765200,656581981
2007-07-13,2332.159,2383.085,2361.226,2307.108,136128400,912237667
2007-07-16,2359.584,2405.374,2337.509,2331.135,162863900,1049763275
2007-07-17,2341.492,2394.476,2390.552,2312.937,159695400,1097684796
2007-07-18,2389.744,2463.123,2431.861,2367.534,396936600,2728498902
2007-07-19,2424.217,2449.11,2385.923,2385.599,179862800,1344150734
2007-07-20,2388.234,2452.677,2442.453,2385.844,255276500,1847199442
2007-07-23,2458.434,2532.605,2531.759,2450.796,479821800,3470661945
2007-07-24,2533.214,2538.462,2486.927,2484.418,287045300,2204390019
2007-07-25,2473.691,2507.162,2483.831,2438.144,290920400,2819447490
2007-07-26,2495.831,2516.325,2479.451,2448.153,268153200,2444982973
2007-07-27,2471.479,2487.558,2467.952,2452.319,269444800,2283347067
2007-07-30,2470.54,2586.681,2584.924,2458.342,524646700,4181578020
2007-07-31,2583.361,2610.186,2585.809,2544.771,350377500,2816952213
2007-08-01,2615.446,2662.186,2502.687,2491.146,495752700,3827108178
2007-08-02,2525.862,2558.89,2522.469,2448.283,295439300,2424330402
2007-08-03,2531.631,2558.786,2553.087,2508.53,279040900,2502360526
2007-08-06,2556.636,2593.463,2554.416,2530.241,261457800,2269908871
2007-08-07,2555.914,2590.297,2559.692,2499.658,392203900,3168997526
2007-08-08,2535.857,2638.041,2601.104,2516.579,656287000,4911185527
2007-08-09,2604.604,2705.999,2681.164,2588.206,627270600,4868003571
2007-08-10,2699.448,2739.663,2720.958,2639.37,504158000,4364349196
2007-08-13,2735.299,2868.23,2846.26,2700.19,527741100,4530251312
2007-08-14,2848.974,2853.932,2839.661,2785.661,293518400,2666315183
2007-08-15,2826.214,2873.482,2807.164,2758.944,307765600,2650074946
2007-08-16,2772.359,2783.025,2707.866,2678.165,392282000,3299008523
2007-08-17,2700.629,2759.824,2653.142,2648.898,301779700,2506290299
2007-08-20,2725.449,2776.631,2763.494,2697.01,217987700,2144984368
2007-08-21,2753.023,2776.863,2767.137,2722.085,236262300,2451625774
2007-08-22,2719.525,2788.828,2771.33,2709.499,252488800,2345348712
2007-08-23,2774.075,2819.192,2773.057,2763.252,210317400,2218598623
2007-08-24,2781.414,2799.057,2771.467,2755.833,315120800,2782544707
2007-08-27,2793.221,2850.296,2846.199,2752.162,492461700,4110163655
2007-08-28,2815.282,2900.272,2868.22,2755.537,407679300,3448467687
2007-08-29,2828.519,2899.988,2807.153,2773.904,257141900,2258542910
2007-08-30,2830.598,2865.65,2842.223,2812.77,171369400,1557649427
2007-08-31,2841.237,2879.639,2838.256,2805.916,238746600,2201352924
2007-09-03,2858.418,2929.911,2896.114,2853.169,368470900,3461102793
2007-09-04,2907.939,3146.615,3065.555,2905.608,702880200,6793652165
2007-09-05,3054.552,3166.932,3077.291,3039.737,460811700,4416094273
2007-09-06,3090.402,3249.094,3194.407,3067.543,468215900,4670187822
2007-09-07,3200.305,3226.967,3115.398,3109.682,373757800,4014767016
2007-09-10,3082.371,3172.727,3160.091,3005.173,304658500,3163694578
2007-09-11,3172.559,3172.559,2942.193,2903.088,304011600,3049566559
2007-09-12,2931.516,2997.915,2908.396,2812.014,287566700,2673849966
2007-09-13,2911.925,3001.693,2996.853,2875.507,231443500,2197986784
2007-09-14,3006.881,3009.745,2982.481,2902.617,153299800,1629504599
2007-09-17,2953.999,3125.872,3108.977,2921.728,325684800,3166514549
2007-09-18,3108.763,3179.427,3098.696,3064.79,215390700,2399575165
2007-09-19,3104.504,3127.663,3055.664,3018.398,166709600,1813123966
2007-09-20,3087.434,3142.096,3078.156,3064.101,191819800,2212611350
2007-09-21,3081.602,3135.821,3126.93,2985.58,377064000,3741551095
2007-09-24,3142.052,3226.482,3164.327,3072.981,287981900,3135833248
2007-09-25,3163.498,3168.891,3091.709,3062.853,193092000,2185123322
2007-09-26,3093.74,3125.056,3110.846,3038.869,119293300,1355867193
2007-09-27,3081.42,3165.746,3140.858,3066.584,139600700,1936628568
2007-09-28,3209.127,3317.087,3264.665,3199.566,281568600,3340388219
2007-10-08,3329.594,3365.37,3314.72,3255.615,250738500,3008570070
2007-10-09,3300.073,3366.817,3323.881,3257.667,142021400,1757120583
2007-10-10,3340.312,3386.331,3279.845,3271.834,215333300,2500431227
2007-10-11,3280.168,3468.382,3460.304,3248.452,374264900,4023302252
2007-10-12,3402.24,3568.595,3518.901,3311.849,514229600,5657103400
2007-10-15,3520.503,3796.027,3794.928,3491.123,527838700,6322240448
2007-10-16,3815.411,3834.947,3721.742,3694.621,393092500,4524731880
2007-10-17,3717.716,3880.657,3796.252,3659.106,288793000,4579894860
2007-10-18,3791.686,3801.474,3624.178,3589.211,308681200,3949943691
2007-10-19,3644.31,3708.705,3571.905,3563.646,206474900,2669374573
2007-10-22,3517.647,3558.825,3416.462,3393.551,205652300,2397347159
2007-10-23,3422.581,3494.389,3492.586,3363.426,200629900,2399140228
2007-10-24,3506.205,3644.853,3559.082,3460.418,253304000,2950793592
2007-10-25,3510.821,3524.848,3368.713,3336.644,258310600,2961623600
