,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603429,集友股份,0.92,19.54,2.94,29.97,0.98,4687.12,19.55,,01-10
1,300598,诚迈科技,0.72,41.18,3.89,20.3,0.78,4301.32,40.8,,01-09
2,300597,吉大通信,0.32,3.23,2.01,17.32,0.13,5774.05,5.85,,01-04
3,300595,欧普康视,1.74,39.1,4.95,40.04,1.57,8870.48,39.1,,01-04
4,300599,雄塑科技,0.43,-12.24,2.63,17.34,0.69,9868.45,-10.71,,01-03
5,603038,华立股份,1.4,-2.1,9.07,16.66,2.6,6977.83,-2.23,,12-30
6,603638,艾迪精密,0.39,14.82,3.21,12.09,0.78,5186.01,14.82,,12-30
7,002843,泰嘉股份,0.39,-30.36,3.64,11.02,0.86,4098.01,-29.82,,12-29
8,002841,视源股份,0.98,58.06,2.24,54.65,1.48,35446.35,56.92,,12-29
9,603337,杰克股份,1.1,-12.7,5.37,22.49,1.75,17005.54,-12.59,,12-29
10,603039,泛微网络,1.01,17.44,4.59,24.64,2.03,5039.6,17.01,,12-29
11,300592,华凯创意,0.4,-9.09,3.18,13.47,0.41,3686.87,0.79,,12-28
12,300596,利安隆,0.82,64.0,4.6,19.48,0.9,7368.28,63.25,,12-28
13,300584,海辰药业,0.67,17.54,3.92,18.53,0.9,4032.9,17.87,,12-28
14,601858,中国科传,0.38,11.76,2.9,14.03,0.54,25245.16,11.99,,12-28
15,603579,荣泰健康,2.72,126.67,5.9,59.36,4.09,14270.24,131.74,,12-27
16,300590,移为通信,1.69,32.37,2.98,69.68,1.56,10152.17,32.37,,12-27
17,002842,翔鹭钨业,0.7,-6.67,5.55,13.45,0.96,5214.8,-7.07,,12-27
18,300589,江龙船艇,0.5,11.11,2.04,27.85,1.1,3246.14,11.07,,12-26
19,603165,荣晟环保,0.81,42.11,2.93,24.49,1.53,7719.44,42.08,,12-26
20,002824,和胜股份,0.57,18.75,4.12,14.5,0.99,5142.61,19.62,,12-22
21,603639,海利尔,1.45,-1.36,6.14,26.19,1.43,13046.15,-1.56,,12-22
22,603628,清源股份,0.32,45.45,2.36,14.57,0.01,6632.85,49.2,,12-21
23,603444,吉比特,3.28,-9.64,9.04,43.74,3.5,17497.77,-9.59,,12-20
24,300591,万里马,0.18,22.05,1.36,14.03,0.62,3206.88,21.99,,12-20
25,300583,赛托生物,2.34,13.04,5.98,48.67,1.09,18704.46,12.84,,12-19
26,002836,新宏泽,0.61,-29.07,4.23,14.96,0.88,3654.07,-29.58,,12-19
27,603877,太平鸟,1.28,23.08,,34.63,0.56,53590.35,22.65,,12-19
28,603266,天龙股份,0.9,0.0,4.68,21.18,1.06,6723.65,-0.8,,12-19
29,603037,凯众股份,1.07,8.08,6.33,18.15,1.07,6416.56,7.62,,12-19
30,300585,奥联电子,0.66,13.79,3.24,21.91,1.01,3953.67,24.01,,12-16
31,300587,天铁股份,0.85,41.67,5.08,18.2,0.57,6667.03,41.49,,12-16
32,002840,华统股份,0.56,-12.5,5.46,10.74,1.03,7518.39,-7.96,,12-16
33,603689,皖天然气,0.46,6.98,,12.03,0.38,11588.74,7.28,,12-16
34,603228,景旺电子,1.17,30.0,,36.46,1.57,42245.34,29.76,,12-16
35,300588,熙菱信息,0.38,15.9,2.53,17.85,0.31,2842.07,15.83,,12-15
36,002838,道恩股份,0.95,26.67,6.22,16.56,0.72,5989.2,26.93,,12-15
37,002837,英维克,1.13,59.15,3.59,37.34,0.74,6780.39,59.42,,12-15
38,603035,常熟汽饰,1.06,10.42,5.97,18.5,0.86,22349.05,10.64,,12-15
39,603032,德新交运,0.43,-21.82,,20.07,0.56,4301.55,-21.78,,12-15
40,300586,美联新材,0.57,7.55,4.23,14.48,0.68,4116.83,8.09,,12-14
41,603186,华正新材,0.42,75.0,3.6,12.28,0.33,4083.48,76.34,,12-14
42,603929,亚翔集成,0.5,92.31,3.4,15.61,0.77,7947.66,90.12,,12-12
43,300579,数字认证,0.8,8.11,3.48,25.17,0.79,4776.9,7.86,,12-08
44,603218,日月股份,1.18,73.53,,36.71,,42356.9,74.18,,12-08
45,300581,晨曦航空,1.49,8.67,6.43,26.4,0.5,5037.27,8.68,,12-07
46,002833,弘亚数控,0.89,-17.59,3.3,30.03,1.13,8914.8,-17.67,,12-07
47,300582,英飞特,0.94,42.42,3.87,27.69,0.95,9311.41,41.58,,12-07
48,002832,比音勒芬,1.54,14.93,6.59,26.46,1.73,12319.02,14.59,,12-06
49,603886,元祖股份,0.64,42.22,2.44,28.48,1.61,11443.94,40.33,,12-06
50,300577,开润股份,1.32,57.14,4.19,37.47,1.21,6624.33,57.67,,12-06
51,002835,同为股份,0.74,45.1,3.72,22.2,0.79,6026.71,46.69,,12-06
52,600996,贵广网络,0.5,19.05,2.01,28.11,0.67,41540.78,18.41,,12-05
53,300576,容大感光,0.56,36.59,3.64,15.72,0.55,3330.28,36.44,,12-05
54,603298,杭叉集团,0.67,-10.67,,19.9,1.14,35742.48,-10.15,,12-05
55,603058,永吉股份,0.24,-50.73,1.39,17.87,0.27,9125.0,-1.44,,12-02
56,300575,中旗股份,1.72,18.62,8.58,22.16,1.2,9480.79,18.73,10派2,12-02
57,300580,贝斯特,0.63,24.05,3.99,16.97,0.85,9409.07,24.03,,12-01
58,603577,汇金通,0.65,27.09,,12.72,0.17,5677.83,37.52,,12-01
59,002829,星网宇达,1.17,-17.02,5.74,22.4,0.06,6672.11,-16.83,,11-30
60,603416,信捷电气,1.08,8.0,4.37,27.53,1.01,8128.62,7.44,,11-29
61,002830,名雕股份,0.96,-4.0,,16.9,2.42,4808.69,-4.15,,11-29
62,603823,百合花,0.72,10.77,3.43,23.3,0.39,12978.26,10.27,,11-29
63,300571,平治信息,0.86,26.47,3.78,25.62,0.45,2577.56,26.78,,11-28
64,603878,武进不锈,0.9,-7.22,,12.77,2.21,13580.3,-7.54,,11-28
65,603389,亚振家居,0.47,6.82,2.47,20.4,0.43,7720.44,6.13,,11-25
66,300573,兴齐眼药,0.37,-28.85,6.5,5.8,0.36,2197.96,-29.12,,11-25
67,603585,苏利股份,1.57,70.65,7.1,24.95,1.96,11809.75,71.64,,11-24
68,603990,麦迪科技,0.65,0.0,3.11,23.31,0.63,3895.6,-0.74,,11-23
69,603239,浙江仙通,1.3,64.56,4.72,31.09,1.05,8772.9,65.06,,11-23
70,603098,森特股份,0.51,-32.89,,19.63,0.26,17319.34,-32.78,,11-23
71,603708,家家悦,0.92,9.52,3.7,25.39,1.57,24725.52,8.54,,11-22
72,300572,安车检测,0.84,15.64,5.07,18.15,2.07,4222.02,15.65,,11-21
73,603928,兴业股份,0.72,22.03,,22.1,0.91,10884.0,22.89,,11-21
74,002828,贝肯能源,0.74,-6.33,,14.23,1.05,6522.29,-5.48,,11-18
75,603036,如通股份,0.41,-22.64,3.91,11.06,0.51,6289.41,-22.64,,11-18
76,603033,三维股份,1.34,-25.14,9.58,15.03,1.28,9101.2,-25.2,,11-15
77,300570,太辰光,1.22,38.21,3.94,36.01,1.34,11644.43,38.2,,11-15
78,002827,高争民爆,0.48,2.13,,21.79,0.82,6628.34,3.11,,11-14
79,002826,易明医药,0.37,54.17,1.74,24.51,-0.21,5002.99,54.54,,11-14
80,603668,天马科技,0.42,13.51,2.43,18.36,0.9,6604.66,10.92,,11-11
81,300568,星源材质,1.31,72.37,5.88,23.99,1.28,11834.18,73.07,,11-11
82,002825,纳尔股份,0.79,2.6,3.88,21.85,0.84,5944.15,3.21,,11-10
83,603559,中通国脉,0.62,10.71,4.5,14.6,0.51,4059.51,9.7,,11-10
84,603660,苏州科达,0.6,125.16,,21.34,0.99,12027.84,125.18,,11-09
85,300569,天能重工,2.76,134.57,10.2,31.32,2.9,17261.04,134.57,,11-08
86,002822,中装建设,0.68,19.3,4.88,15.07,0.1,15381.12,20.86,,11-08
87,002823,凯中精密,0.84,20.0,4.15,22.43,1.0,9125.45,20.14,,11-07
88,603900,通灵珠宝,0.99,5.32,,17.59,0.76,18101.87,5.24,,10-31
89,300563,神宇股份,0.54,25.58,4.04,14.38,0.85,3248.62,25.68,,10-31
90,603858,步长制药,5.78,167.2,11.69,63.78,3.47,353676.44,167.2,,10-31
91,300565,科信技术,0.52,8.33,2.84,20.3,0.07,6283.82,9.15,,10-31
