,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603727,博迈科,0.45,,,18.0,,6794.52,73.24,,10-31
1,603959,百利科技,0.59,-28.92,,46.72,0.4,9993.23,7.18,,04-26
2,603701,德宏股份,0.62,-25.3,,19.77,0.85,3665.76,-25.18,,03-28
3,002791,坚朗五金,1.09,60.29,,29.73,0.74,18592.86,60.25,,03-10
4,002792,通宇通讯,0.44,-45.68,4.4,11.02,0.63,5312.16,-27.02,,03-09
5,300484,蓝海华腾,1.02,,2.32,51.92,0.63,3983.57,39.36,,03-09
6,300506,名家汇,,,1.46,46.38,-0.54,4244.45,42.34,,03-07
7,002789,建艺集团,1.17,,5.42,31.12,0.87,6615.11,133.36,,02-23
8,603520,司太立,0.4,-46.67,3.67,11.46,1.15,3578.46,-47.04,,02-18
9,002790,瑞尔特,0.81,,2.45,39.89,0.72,9765.03,27.14,,02-17
10,300501,海顺新材,0.85,66.67,4.12,23.04,0.66,3405.81,72.09,,01-22
11,603608,天创时尚,0.57,,,21.87,0.3,11976.14,16.4,,01-22
12,300500,苏州设计,1.17,,4.71,28.68,1.47,5256.65,-46.33,,01-21
13,002788,鹭燕医药,0.94,40.3,4.64,22.66,-0.34,9051.39,42.26,,01-21
14,300499,高澜股份,,,,21.42,1.02,3540.43,10.51,,01-20
15,603377,东方时尚,0.52,-57.38,,71.94,3.4,19143.99,30.24,,01-20
16,601900,南方传媒,0.39,11.43,,19.3,0.44,25664.65,11.54,,01-20
17,002827,高争民爆,,,,37.14,1.74,4666.71,,,01-08
18,601155,新城控股,,,,,,96746.13,,,10-30
19,300584,海辰药业,,,2.21,40.61,0.65,2559.2,,,07-03
20,300595,欧普康视,,,,35.99,,3008.43,,,07-03
21,300591,万里马,,,4.33,15.27,0.49,2027.31,,,07-03
22,300599,雄塑科技,,,1.81,22.93,0.99,7637.09,,,07-03
23,300497,富祥股份,0.78,,3.42,28.11,1.17,4007.94,11.81,,07-02
24,002815,崇达技术,1.21,3.42,4.79,28.4,2.06,13664.09,3.88,,07-01
25,603738,泰晶科技,0.78,-6.02,3.14,27.58,0.57,3880.44,-7.0,,07-01
26,002801,微光股份,1.22,15.09,,27.45,1.54,5371.82,14.67,,07-01
27,603189,网达软件,0.32,,1.55,30.8,0.2,5359.3,139.21,,07-01
28,603958,哈森股份,0.8,12.68,2.39,39.38,0.43,12985.11,12.49,,07-01
29,603822,嘉澳环保,0.87,,5.47,17.29,0.77,4791.92,,,06-29
30,601595,上海电影,0.37,,1.23,30.86,0.31,10474.41,23.34,,06-29
31,603888,新华网,0.89,-45.73,3.68,27.14,1.09,13596.96,3.44,,06-29
32,603515,欧普照明,0.84,,2.38,50.55,0.8,42719.34,186.44,,06-29
33,603726,朗迪集团,0.58,-28.4,,17.04,0.65,4085.65,-28.98,,06-29
34,002786,银宝山新,0.63,-18.18,4.84,13.84,0.27,6041.46,-4.71,,06-26
35,603508,思维列控,1.1,18.28,3.15,42.29,0.84,13195.86,17.82,,06-26
36,603299,井神股份,0.34,-8.11,,11.17,1.28,15851.65,-1.77,,06-26
37,300590,移为通信,,,,83.76,,2155.86,,,06-26
38,300494,盛天网络,1.02,52.24,1.48,84.36,0.93,9135.13,68.58,,06-26
39,300588,熙菱信息,0.21,,1.54,14.73,0.02,1580.28,,,06-26
40,300491,通合科技,0.57,,,37.07,0.49,3413.13,37.52,,06-26
41,002787,华源控股,0.55,10.0,3.14,19.09,0.59,5775.04,9.71,,06-26
42,603398,邦宝益智,0.68,-2.86,,39.57,0.81,4850.84,19.87,,06-25
43,300490,华自科技,0.55,44.74,3.27,18.1,0.57,4105.65,45.34,,06-25
44,603936,博敏电子,0.58,39.47,3.09,20.86,1.35,7318.82,42.61,,06-25
45,002779,中坚科技,0.72,-11.11,,24.36,0.74,4772.87,-10.9,,06-25
46,002785,万里石,0.23,-34.29,,7.61,-0.07,3375.02,-36.57,,06-25
47,603866,桃李面包,0.53,-45.36,,35.03,1.67,21515.86,47.55,,06-25
48,300496,中科创达,0.72,,2.33,36.39,0.57,5377.03,723.63,,06-25
49,002778,高科石化,0.68,1.49,4.5,16.44,0.45,4568.03,10.24,,06-25
50,002783,凯龙股份,1.68,-0.59,,21.44,2.89,10534.74,-0.62,,06-25
51,603800,道森股份,0.48,-0.63,2.27,23.07,0.42,7440.9,-1.28,,06-25
52,300495,美尚生态,1.41,68.17,4.21,40.33,0.6,7062.98,67.95,,06-25
53,002777,久远银海,0.75,4.17,3.06,26.26,0.93,4499.78,4.23,,06-25
54,002782,可立克,0.53,-0.6,2.81,20.77,0.53,6745.15,0.41,,06-25
55,603778,乾景园林,1.04,15.56,4.8,24.2,-0.41,6212.18,21.76,,06-25
56,300493,润欣科技,0.48,,2.41,22.31,0.16,4361.21,13.01,,06-25
57,603999,读者传媒,0.81,0.0,,20.78,0.99,14575.72,4.12,,06-25
58,002781,奇信股份,0.67,8.06,3.27,22.86,0.45,12086.6,11.87,,06-25
59,601020,华钰矿业,1.66,,,51.72,2.53,33196.63,72.49,,06-25
60,300496,中科创达,0.72,,2.33,36.39,0.57,5377.03,723.63,,06-25
61,002778,高科石化,0.68,1.49,4.5,16.44,0.45,4568.03,10.24,,06-25
62,002783,凯龙股份,1.68,-0.59,,21.44,2.89,10534.74,-0.62,,06-25
63,603800,道森股份,0.48,-0.63,2.27,23.07,0.42,7440.9,-1.28,,06-25
64,300495,美尚生态,1.41,68.17,4.21,40.33,0.6,7062.98,67.95,,06-25
65,603421,鼎信通讯,0.5,,0.8,98.56,0.4,19594.93,220.16,,06-23
66,603028,赛福天,0.28,7.69,1.9,16.18,0.31,4707.97,15.82,,06-23
67,300585,奥联电子,0.16,,1.93,9.13,0.48,985.56,,,06-19
68,300540,深冷股份,0.77,57.14,2.07,57.24,0.56,4605.45,55.87,,06-19
69,300510,金冠电气,0.63,117.24,2.45,29.41,0.5,3410.44,123.25,,06-19
70,002795,永和智控,0.57,,,30.28,0.54,4292.01,46.4,,06-18
71,300511,雪榕生物,0.64,8.47,3.28,20.87,1.0,7233.25,8.2,,06-17
72,002796,世嘉科技,0.67,81.08,,27.08,0.72,4001.05,82.08,,06-17
73,603861,白云电器,0.38,-40.1,2.84,14.24,0.34,13832.67,2.34,,06-17
74,603101,汇嘉时代,0.47,-51.41,2.22,23.88,0.99,8533.42,-0.99,,06-12
75,300521,爱司凯,0.62,,1.85,46.32,0.15,3690.5,27.81,,06-12
76,300589,江龙船艇,,,,29.37,,1239.02,,,06-12
77,300508,维宏股份,0.76,15.15,1.86,51.09,0.69,3415.04,21.71,,06-12
78,603058,永吉股份,0.49,,,21.92,0.78,9253.59,,,06-12
79,300507,苏奥传感,0.81,10.96,3.0,30.56,0.59,4068.54,11.67,,06-12
