,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002371,七星电子,0.26,,,6.14,,1282.45,,,10-09
1,002529,海源机械,0.06,,,3.24,,653.27,,,10-09
2,000603,盛达矿业,0.02,218.84,0.57,,-0.08,308.18,219.81,,08-29
3,002269,美邦服饰,0.23,,1.34,19.0,0.7,14051.55,,,08-04
4,601766,中国中车,0.05,,0.67,8.1,-0.42,36754.98,,,07-28
5,002259,升达林业,0.03,9.21,1.6,,-0.1,418.29,9.64,,07-15
6,002258,利尔化学,0.27,-40.0,2.34,,-0.03,2701.62,-40.11,,07-07
7,600180,瑞茂通,-0.2,46.93,0.77,,0.01,-4928.29,46.93,,06-26
8,002254,泰和新材,0.78,59.18,10.98,,0.24,7306.9,58.41,,06-24
9,002255,海陆重工,0.12,-92.44,2.08,,0.69,1019.64,8.97,,06-24
10,002256,兆新股份,0.1,11.11,1.72,,-0.12,629.99,13.2,,06-24
11,002252,上海莱士,0.26,-7.14,1.66,,0.21,3154.26,60.54,,06-20
12,002253,川大智胜,0.14,-566.67,4.5,,-0.54,550.01,-575.16,,06-20
13,002251,步步高,0.72,44.0,4.51,,2.32,7719.4,51.07,,06-18
14,002250,联化科技,0.15,36.36,2.7,,0.02,1495.18,37.26,,06-18
15,002249,大洋电机,0.46,6.98,2.97,,,4313.24,6.28,,06-18
16,002248,华东数控,0.06,100.0,2.11,,-0.1,595.31,180.5,,06-11
17,002247,帝龙文化,0.09,38.71,2.47,,-0.16,429.06,37.72,,06-11
18,002245,澳洋顺昌,0.2,37.94,2.94,,0.01,910.08,39.76,,06-04
19,002246,北化股份,0.05,-18.18,1.67,,-0.25,669.1,-16.38,,06-04
20,002244,滨江集团,0.03,650.0,2.45,,-1.78,1220.58,487.44,,05-28
21,002243,通产丽星,0.1,12.56,1.21,,-0.2,1212.74,12.55,,05-27
22,002242,九阳股份,0.51,,2.86,,,10195.28,67.58,,05-27
23,002238,天威视讯,0.09,9.62,3.42,,0.34,1816.32,10.56,,05-23
24,002240,威华股份,0.07,-61.11,2.52,,0.04,1654.82,-2.12,,05-22
25,002239,奥特佳,0.13,28.52,1.79,,-0.02,1316.36,28.58,,05-21
26,002241,歌尔股份,0.23,187.5,1.97,,0.26,2043.33,112.45,,05-21
27,600958,东方证券,,,,,,-26837.73,-171.07,,05-20
28,002237,恒邦股份,0.6,81.82,4.67,,-0.14,4272.48,100.03,,05-19
29,002236,大华股份,0.11,120.0,4.7,,-0.65,583.65,109.98,,05-19
30,002235,安妮股份,0.13,-18.75,2.12,,,1006.18,32.71,,05-15
31,002233,塔牌集团,0.2,400.0,2.29,,0.33,6053.87,394.0,,05-15
32,002234,民和股份,0.33,43.48,4.13,,0.27,2660.25,47.66,,05-15
33,002230,科大讯飞,0.04,,1.9,,-0.65,323.85,3397.74,,05-09
34,002231,奥维通信,-0.05,-150.0,1.76,,,-414.68,-151.72,,05-09
35,002232,启明信息,,,1.55,,-0.39,250.89,225.67,,05-08
36,002229,鸿博股份,0.17,6.25,2.58,,-0.06,1007.49,2.73,,05-07
37,002228,合兴包装,0.12,50.0,1.68,,-0.02,918.29,52.55,,05-07
38,002226,江南化工,0.07,-12.5,2.66,,-0.7,286.74,-10.48,,05-05
39,002227,奥特迅,0.11,22.22,2.09,,-0.36,871.36,22.19,,05-05
40,000695,滨海能源,0.03,40.0,1.59,,0.3,613.95,58.18,,04-30
41,600091,ST明科,-0.06,-1220.0,5.44,,0.01,-1881.92,-1315.33,,04-30
42,600297,广汇汽车,0.04,27.67,4.48,,0.27,524.68,67.67,,04-30
43,600419,天润乳业,-0.06,-700.0,1.71,,-0.13,-447.1,-635.71,,04-30
44,000017,深中华A,0.01,-88.86,-3.71,,0.01,376.01,-89.26,,04-30
45,601998,中信银行,0.11,,2.2,4.87,0.34,419000.0,,,04-30
46,600459,贵研铂业,0.25,-37.5,7.08,,-1.31,2150.73,-37.32,,04-30
47,600388,龙净环保,0.11,22.22,6.21,,-0.58,1903.83,25.0,,04-30
48,000652,泰达股份,0.02,-41.0,1.91,,-0.06,2485.86,-38.01,,04-30
49,600691,阳煤化工,-0.06,-0.0,-0.02,,-0.01,-466.27,4.09,,04-30
50,600864,哈投股份,0.08,-96.1,9.11,,-0.42,2082.91,-92.56,,04-30
51,600806,*ST昆机,0.14,41.56,2.21,,-0.02,6045.69,115.82,,04-30
52,600706,曲江文旅,0.02,-188.46,0.36,,0.04,203.17,-190.58,,04-30
53,000735,罗牛山,0.02,446.43,1.62,,0.0,1350.94,457.08,,04-30
54,000728,国元证券,0.07,-124.01,3.05,1.98,-1.34,9847.32,-202.42,,04-30
55,600284,浦东建设,0.13,-47.29,3.73,,-0.67,3010.29,-47.3,,04-30
56,002113,天润数娱,0.01,-85.71,5.83,,-1.23,97.8,-78.2,,04-30
57,600057,象屿股份,-0.28,-5100.0,-0.99,,0.02,-12149.23,-5185.65,,04-30
58,601808,中海油服,0.2,25.0,4.03,5.04,0.01,89134.99,35.51,,04-30
59,600234,*ST山水,-0.04,-408.33,-2.65,,0.01,-531.64,-576.51,,04-30
60,002021,中捷资源,0.03,-84.38,3.96,,0.36,611.56,-78.6,,04-30
61,600299,安迪苏,0.13,14.04,7.8,,0.27,5382.01,31.63,,04-30
62,600619,海立股份,0.06,20.0,3.34,,-0.47,2720.5,15.67,,04-30
63,601318,中国平安,0.66,11.86,12.81,,0.53,486000.0,26.23,,04-30
64,600748,上实发展,0.09,200.0,3.17,,-2.04,6705.37,300.68,,04-30
65,600182,S佳通,0.02,-22.22,1.06,,0.02,730.0,-19.59,,04-30
66,600754,锦江股份,0.11,23.33,5.82,,0.01,6888.7,23.32,,04-30
67,000833,贵糖股份,0.12,500.0,2.48,,-0.18,3567.69,526.52,,04-30
68,600634,中技控股,-0.01,-600.0,2.3,,0.01,-97.33,-664.4,,04-30
69,000025,特力A,-0.02,58.0,0.69,,0.06,-349.12,48.99,,04-30
70,600751,天海投资,-0.05,-1766.67,-0.46,,0.02,-2483.05,-1687.89,,04-30
71,000586,汇源通信,-0.06,41.57,1.06,,-0.09,-1227.43,42.56,,04-30
72,600963,岳阳林纸,0.09,162.86,6.55,,0.22,4019.54,285.97,,04-30
73,600593,大连圣亚,-0.13,-7.14,2.72,,-0.32,-1196.58,-4.16,,04-30
74,600652,游久游戏,0.02,-33.33,2.26,,0.4,711.79,-45.99,,04-30
75,600624,复旦复华,0.02,12.69,1.45,,0.03,521.11,12.33,,04-30
76,600658,电子城,-0.09,260.0,1.01,,-0.04,-1502.88,261.8,,04-30
77,600812,华北制药,0.02,50.0,1.22,,0.22,1506.06,26.81,,04-30
78,000018,神州长城,-0.01,-92.86,0.95,,0.04,-132.36,-94.48,,04-30
79,600225,天津松江,0.01,-168.49,-1.37,,-0.03,166.59,-151.67,,04-30
80,000977,浪潮信息,0.0,120.0,4.45,,-0.0,47.92,51.08,,04-30
81,000338,潍柴动力,1.37,191.49,13.62,,-0.55,71077.56,188.14,,04-30
82,000693,ST华泽,-0.09,-30.77,-0.14,,-0.01,-1736.42,-32.1,,04-30
83,000762,西藏矿业,0.05,-600.0,2.09,,0.11,1297.78,-643.86,,04-30
84,601991,大唐发电,0.04,-73.33,2.44,,0.19,43782.5,-49.59,,04-30
85,600512,腾达建设,0.05,12.5,2.81,,0.05,1662.89,28.65,,04-30
86,600511,国药股份,0.36,27.86,5.52,,-0.78,4761.58,27.79,,04-30
87,600543,莫高股份,0.05,98.11,3.86,,0.23,723.49,97.92,,04-30
88,600683,京投发展,0.01,-56.25,2.59,,-0.14,393.22,-47.55,,04-30
89,600637,东方明珠,0.0,-4.17,3.35,,-0.32,324.56,5.36,,04-30
90,600664,哈药股份,0.11,57.14,4.18,,-0.06,14049.02,64.57,,04-30
91,600689,上海三毛,0.03,-137.5,1.88,,-0.03,669.79,-142.17,,04-30
92,600781,辅仁药业,0.03,14.67,0.83,,0.16,610.93,19.71,,04-30
93,600732,*ST新梅,0.05,16233.33,1.77,,-0.26,1202.81,19091.27,,04-30
94,000156,华数传媒,-0.07,-12.5,-6.26,,-0.02,-862.03,-13.03,,04-30
95,600703,三安光电,0.0,-102.45,,,,32.73,-102.59,,04-30
96,000912,泸天化,0.22,4.76,4.17,,0.48,12817.8,4.98,,04-30
97,600177,雅戈尔,0.23,-55.4,5.33,,0.11,50519.21,-44.26,,04-30
98,600609,金杯汽车,0.06,1325.0,0.68,,-0.06,6221.44,1230.13,,04-30
99,600094,大名城,-0.13,-77.59,-2.44,,0.01,-8341.66,-77.08,,04-30
100,600421,仰帆控股,-0.04,-300.0,0.11,,-0.09,-777.04,-313.96,,04-30
101,600712,南宁百货,0.04,59.66,1.48,,0.18,541.93,57.67,,04-30
102,000519,中兵红箭,-0.02,-1300.0,1.88,,-0.19,-454.79,-1244.28,,04-30
103,600797,浙大网新,0.04,-27.27,1.77,,-0.21,3142.26,-30.07,,04-30
104,601328,交通银行,0.16,100.0,2.76,5.83,0.46,788300.0,107.45,,04-30
105,600749,西藏旅游,-0.09,-362.54,2.85,,0.02,-974.63,-450.4,,04-30
106,000100,TCL集团,0.17,3116.67,1.52,,-0.02,44913.18,3137.53,,04-30
107,600198,大唐电信,0.01,-66.81,0.86,,-0.45,343.44,-66.73,,04-30
108,000949,新乡化纤,0.01,-89.82,3.31,,0.05,551.34,-89.38,,04-30
109,600145,*ST新亿,0.0,-133.33,1.4,,0.03,140.05,-130.83,,04-30
110,600866,*ST星湖,0.01,16.25,1.43,,0.02,486.3,20.0,,04-30
111,000703,恒逸石化,0.0,-60.0,1.55,,0.09,57.82,-56.78,,04-30
112,600007,中国国贸,0.08,14.29,4.07,,0.11,8300.84,21.1,,04-30
113,600033,福建高速,0.16,55.31,2.28,,0.25,23600.82,55.36,,04-30
114,600657,信达地产,-0.08,100.0,0.06,,0.26,-4158.6,108.19,,04-30
115,600707,彩虹股份,0.0,-130.0,3.39,,0.15,122.92,-128.8,,04-30
116,600759,洲际油气,0.01,-22.32,1.51,,-0.01,815.16,247.89,,04-30
117,000928,中钢国际,0.01,100.0,3.48,,-0.08,291.03,115.91,,04-30
118,600377,宁沪高速,0.08,1.27,3.2,,0.14,40905.91,3.27,,04-30
119,600021,上海电力,-0.07,-201.0,3.92,,0.13,-12603.8,-215.13,,04-30
120,600520,*ST中发,0.0,155.56,2.25,,-0.02,26.24,169.87,,04-30
121,600381,青海春天,0.4,-4606.74,-0.86,,0.03,12289.27,-4965.68,,04-30
122,000888,峨眉山A,-0.02,-17.0,2.6,,-0.03,-586.45,-14.76,,04-30
123,600889,南京化纤,0.02,-31.82,3.3,,-0.1,317.62,-25.9,,04-30
124,600854,春兰股份,-0.14,-2129.85,3.99,,-0.1,-7076.42,-2144.62,,04-30
125,000753,漳州发展,-0.03,-250.0,1.32,,-0.08,-848.38,-249.17,,04-30
126,000088,盐田港,0.1,-16.38,3.02,,0.06,12261.52,-16.39,,04-30
127,600332,白云山,0.14,50.54,3.9,,-0.11,11361.8,50.77,,04-30
128,000836,鑫茂科技,0.01,-69.25,2.15,,-0.16,150.47,-69.99,,04-30
129,600602,云赛智联,-0.14,-2900.0,2.31,,-0.1,-1676.92,-420.92,,04-30
130,600105,永鼎股份,0.01,-38.89,3.73,,0.29,302.6,-39.32,,04-30
131,600249,两面针,-0.03,-109.24,9.09,,-0.25,-1026.33,-118.7,,04-30
132,600438,通威股份,0.01,-26.0,1.41,,0.4,507.78,19.73,,04-30
133,600562,国睿科技,0.01,-30.77,4.17,,-0.11,75.28,-31.0,,04-30
134,600588,用友网络,0.31,40.91,9.68,,-0.12,7201.22,43.73,,04-30
135,600597,光明乳业,0.11,177.5,2.4,,-0.29,11560.16,175.51,,04-30
136,600621,华鑫股份,0.08,16.92,2.03,,0.19,4004.3,17.41,,04-30
137,600677,航天通信,0.03,162.99,2.4,,-0.22,1090.02,163.86,,04-30
138,601398,工商银行,0.1,66.67,1.7,5.99,0.33,3311300.0,77.02,,04-30
139,600146,商赢环球,-0.01,7.69,1.74,,-0.03,-274.11,9.35,,04-30
140,600894,广日股份,0.03,50.0,2.03,,-0.29,2201.41,49.13,,04-30
141,000408,*ST金源,0.01,-30.0,2.6,,0.18,102.98,-38.33,,04-30
142,600757,长江传媒,-0.06,-85.37,-0.03,,0.02,-3167.28,-83.44,,04-30
143,600240,华业资本,0.03,-48.33,4.42,,-0.01,1322.36,-31.89,,04-30
144,000657,中钨高新,-0.06,200.0,1.43,,0.08,-1321.75,177.39,,04-30
145,000036,华联控股,-0.03,-372.73,1.42,,0.52,-2836.22,-319.74,,04-30
146,600223,鲁商置业,-0.2,185.71,0.84,,-0.03,-10740.79,185.75,,04-30
147,000597,东北制药,0.1,385.0,2.95,,0.3,2948.57,300.34,,04-30
148,601009,南京银行,0.22,69.23,5.68,,2.73,41029.36,171.51,,04-30
149,600721,*ST百花,0.0,-287.5,1.76,,-0.03,63.55,-380.7,,04-30
150,000584,友利控股,0.07,61.16,3.73,,0.13,2686.3,105.04,,04-30
151,600569,安阳钢铁,0.1,0.0,4.44,,0.39,23514.02,17.42,,04-30
152,000587,金洲慈航,-0.17,142.86,-0.65,,-0.02,-3194.13,441.18,,04-30
153,600875,东方电气,0.52,9.7,1.69,,0.0,42493.9,99.35,,04-30
154,600039,四川路桥,0.01,11.67,3.17,,-0.05,407.03,12.92,,04-30
155,600661,新南洋,0.01,10.38,2.18,,-0.1,203.21,10.05,,04-30
156,600746,江苏索普,-0.04,-2050.0,1.29,,-0.12,-1202.42,-1863.6,,04-30
157,600153,建发股份,0.22,22.22,7.14,,0.52,15242.19,35.37,,04-30
158,601919,中远海控,0.6,,4.95,,0.8,613221.77,,,04-30
159,000506,中润资源,0.0,-125.0,-0.63,,0.0,62.29,-120.1,,04-30
160,000672,上峰水泥,0.0,-107.5,0.03,,-0.01,33.01,-108.82,,04-30
161,600272,开开实业,0.01,400.0,0.81,,-0.01,120.46,300.87,,04-30
162,000892,星美联合,-0.05,586.11,-2.97,,-0.0,-2045.72,584.19,,04-30
163,000889,茂业通信,0.0,-3.85,2.03,,-0.29,83.05,9.11,,04-30
164,000825,太钢不锈,0.27,-41.3,5.16,,0.06,93331.7,-23.82,,04-30
165,600356,恒丰纸业,0.06,53.85,5.44,,-0.09,1276.78,135.92,,04-30
166,000752,西藏发展,0.02,2.5,1.93,,0.0,540.46,24.1,,04-30
167,600699,均胜电子,-0.11,57.14,1.54,,-0.3,-2103.68,70.66,,04-30
168,600828,茂业商业,0.16,409.68,1.5,,0.07,3208.8,410.03,,04-30
169,600193,创兴资源,0.05,-82.83,2.4,,0.1,813.47,-83.38,,04-30
170,000038,深大通,-0.02,-108.04,-0.95,,-0.0,-159.21,-107.86,,04-30
171,000157,中联重科,0.48,15.22,5.25,,-0.89,36556.33,72.83,,04-30
172,000878,云南铜业,0.16,-23.81,5.4,,-5.38,20158.87,-22.63,,04-30
173,600186,莲花健康,0.01,10.0,1.53,,-0.0,579.94,9.75,,04-30
174,000049,德赛电池,0.01,-141.0,1.11,,0.07,112.82,-144.0,,04-30
175,600600,青岛啤酒,0.1,47.03,4.24,,0.46,12963.72,46.94,,04-30
176,600084,中葡股份,-0.17,-1.18,-0.98,,-0.34,-7913.38,-0.51,,04-30
177,000027,深圳能源,0.12,-29.41,5.2,,0.23,26908.95,33.12,,04-30
178,600649,城投控股,0.14,133.55,3.85,,0.05,26634.15,133.65,,04-30
179,600100,同方股份,0.04,43.1,8.48,,-0.57,2671.53,56.72,,04-30
180,600588,用友网络,0.31,40.91,9.68,,-0.12,7201.22,43.73,,04-30
181,600597,光明乳业,0.11,177.5,2.4,,-0.29,11560.16,175.51,,04-30
182,600621,华鑫股份,0.08,16.92,2.03,,0.19,4004.3,17.41,,04-30
183,600677,航天通信,0.03,162.99,2.4,,-0.22,1090.02,163.86,,04-30
184,601398,工商银行,0.1,66.67,1.7,5.99,0.33,3311300.0,77.02,,04-30
185,600146,商赢环球,-0.01,7.69,1.74,,-0.03,-274.11,9.35,,04-30
186,600894,广日股份,0.03,50.0,2.03,,-0.29,2201.41,49.13,,04-30
187,000408,*ST金源,0.01,-30.0,2.6,,0.18,102.98,-38.33,,04-30
188,600757,长江传媒,-0.06,-85.37,-0.03,,0.02,-3167.28,-83.44,,04-30
189,600332,白云山,0.14,50.54,3.9,,-0.11,11361.8,50.77,,04-30
190,000836,鑫茂科技,0.01,-69.25,2.15,,-0.16,150.47,-69.99,,04-30
191,600602,云赛智联,-0.14,-2900.0,2.31,,-0.1,-1676.92,-420.92,,04-30
192,600105,永鼎股份,0.01,-38.89,3.73,,0.29,302.6,-39.32,,04-30
193,600249,两面针,-0.03,-109.24,9.09,,-0.25,-1026.33,-118.7,,04-30
194,600438,通威股份,0.01,-26.0,1.41,,0.4,507.78,19.73,,04-30
