,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,601229,上海银行,0.67,,17.77,3.86,,363626.8,,,09-26
1,603160,汇顶科技,0.18,,2.86,5.81,-0.14,7012.92,,,09-20
2,002815,崇达技术,0.24,,2.97,8.01,0.33,8510.58,,,09-12
3,601163,三角轮胎,0.27,,4.82,5.72,0.48,16110.3,,,08-22
4,600908,无锡银行,0.13,,4.47,2.94,-0.76,21550.82,,,08-10
5,300537,广信材料,0.11,,3.35,3.34,0.06,826.39,,,08-09
6,300533,冰川网络,0.6,-11.76,,9.02,,4469.47,-11.95,,07-29
7,300532,今天国际,0.09,,5.91,1.48,-0.22,546.51,,,07-28
8,300535,达威股份,0.24,33.33,,,,1069.63,33.85,,07-28
9,601997,贵阳银行,0.45,18.42,,5.63,,80876.8,19.86,,07-27
10,002807,江阴银行,0.11,-11.05,,2.42,,17679.0,-11.09,,07-26
11,600936,广西广电,0.08,-20.0,,,,11221.86,-15.86,,07-26
12,002808,苏州恒久,0.06,-38.04,,1.74,,509.97,-38.34,,07-25
13,603843,正平股份,-0.05,-0.0,,-2.17,,-1503.68,56.55,,07-25
14,300531,优博讯,0.25,,4.68,5.46,-0.44,1492.05,,,07-25
15,603569,长久物流,0.21,10.53,,8.01,,7474.56,10.92,,07-21
16,601811,新华文轩,0.15,,6.11,2.44,-0.17,17301.29,,,07-19
17,300528,幸福蓝海,0.07,-46.15,,1.27,,1643.13,-44.07,,07-18
18,300527,华舟应急,0.01,,,0.22,,206.23,,,07-15
19,300529,健帆生物,0.13,30.0,,7.98,,4689.47,23.97,,07-14
20,603322,超讯通信,0.01,-150.0,,0.34,,80.7,-164.76,,07-14
21,300526,中潜股份,0.14,,,3.23,,880.04,53.28,,07-13
22,300525,博思软件,0.03,,,0.74,,167.61,,,07-13
23,002806,华锋股份,0.05,,,1.36,,309.26,1192.3,,07-12
24,603663,三祥新材,0.08,33.33,,3.16,,768.93,22.28,,07-11
25,300522,世名科技,0.25,8.7,4.41,5.73,0.12,1248.15,6.87,,07-04
26,603585,苏利股份,0.54,,7.66,7.33,1.01,4062.4,,,06-30
27,300521,爱司凯,0.1,25.0,,2.52,,587.08,28.16,,06-22
28,002803,吉宏股份,0.07,40.0,,2.37,,639.62,41.03,,06-22
29,300520,科大国创,-0.02,-33.33,,-0.49,,-130.32,-40.72,,06-20
30,002805,丰元股份,0.09,-52.63,,1.61,,669.96,-50.78,,06-20
31,603429,集友股份,0.25,,3.19,8.1,0.46,1266.09,,,06-17
32,603900,通灵珠宝,0.46,,5.91,7.56,0.42,8442.6,,,06-17
33,603016,新宏泰,0.13,0.0,,3.27,,1411.85,0.72,,06-08
34,002802,洪汇新材,0.15,36.36,,4.25,,1220.06,36.52,,06-07
35,002801,微光股份,0.43,22.86,9.73,4.53,0.34,1903.14,22.94,,06-07
36,603958,哈森股份,0.21,-24.54,,,,3362.0,-24.48,,06-07
37,300517,海波重科,0.08,14.29,,1.79,,582.91,4.53,,06-06
38,603909,合诚股份,0.17,,,4.16,,1268.61,,,06-06
39,300518,盛讯达,0.26,23.81,,3.65,,1803.84,23.94,,06-06
40,300519,新光药业,0.66,,,12.11,,3977.53,3.35,,06-06
41,300515,三德科技,0.08,-426.07,,2.48,,572.37,-425.65,,05-20
42,603339,四方冷链,0.18,-5.26,,3.85,0.48,2811.32,-5.79,,05-18
43,002800,天顺股份,0.07,75.0,,1.4,,384.02,78.6,,05-17
44,300516,久之洋,0.23,9.52,4.63,5.15,-0.67,2091.23,13.08,,05-16
45,603959,百利科技,0.01,,2.76,0.44,-0.34,203.97,,,05-16
46,300513,恒泰实达,-0.04,,,-0.71,,-215.64,,,05-16
47,603737,三棵树,-0.18,-35.71,,-2.55,,-1378.15,-34.93,,05-16
48,603779,威龙股份,0.07,75.0,,,,1121.47,83.38,,05-13
49,002797,第一创业,0.05,-54.55,3.16,1.62,-0.56,9989.12,-54.27,,05-10
50,002796,世嘉科技,0.11,0.0,4.42,2.53,-0.02,655.06,-3.12,,05-09
51,603101,汇嘉时代,0.12,-1.17,3.64,3.29,-0.37,2122.09,-1.21,,05-05
52,300510,金冠电气,0.09,12.5,4.73,1.9,0.02,592.22,18.68,,05-05
53,300511,雪榕生物,0.46,142.11,6.11,7.89,0.61,5218.34,140.07,,05-03
54,000638,万方发展,0.03,-274.25,,4.24,,899.99,-274.15,,04-30
55,600833,第一医药,0.06,10.02,,1.78,,1323.35,10.0,,04-30
56,600802,福建水泥,-0.21,-4.17,2.14,-11.15,-0.24,-7921.84,-4.12,,04-30
57,600773,西藏城投,0.02,6.67,,0.46,,1135.16,4.74,,04-30
58,600366,宁波韵升,1.23,531.43,,16.24,,63154.24,531.28,,04-30
59,600295,鄂尔多斯,0.08,-20.0,,1.22,,8673.1,-18.23,,04-30
60,000823,超声电子,0.03,-46.27,,0.52,,1471.1,-46.28,,04-30
61,002741,光华科技,0.02,-65.6,,0.85,,618.39,10.01,,04-30
62,600728,佳都科技,-0.01,-70.68,,-0.53,,-1131.53,-14.99,,04-30
63,600500,中化国际,0.03,-50.0,,0.6,,6754.83,-44.46,,04-30
64,002101,广东鸿图,0.17,30.0,,2.2,,3239.0,29.99,,04-30
65,000008,神州高铁,0.0,-96.21,,0.24,,1159.26,-79.46,,04-30
66,000043,中航地产,-0.23,129.62,,-4.04,,-15668.0,129.7,,04-30
67,600000,浦发银行,0.7,16.0,15.96,4.5,-5.17,1392200.0,24.37,,04-30
68,000783,长江证券,0.11,-31.25,,2.96,,50234.96,-34.97,,04-30
69,600588,用友网络,-0.15,36.36,,-3.99,,-21669.46,66.25,,04-30
70,600030,中信证券,0.14,-60.0,,1.18,,164131.64,-57.0,,04-30
71,600988,赤峰黄金,0.02,-33.33,,0.74,,1589.05,-18.56,,04-30
72,000938,紫光股份,0.19,26.32,,1.88,,3966.15,27.0,,04-30
73,600650,锦江投资,0.09,1.14,,1.41,,4934.05,2.19,,04-30
74,601669,中国电建,0.12,12.54,,3.21,,161700.29,61.19,,04-30
75,000756,新华制药,0.04,33.33,,1.07,,2029.68,42.34,,04-30
76,600095,哈高科,-0.01,3.08,,-0.34,,-240.73,2.96,,04-30
77,600677,航天通信,0.03,-154.7,,0.5,,1547.62,-168.43,,04-30
78,000835,长城动漫,-0.06,434.78,,-5.7,,-1912.46,443.81,,04-30
79,600172,黄河旋风,0.13,40.66,,2.21,,10084.47,73.83,,04-30
80,000409,山东地矿,0.01,-116.67,,0.49,,550.51,-121.16,,04-30
81,600885,宏发股份,0.25,13.64,,3.37,,13414.13,17.19,,04-30
82,600237,铜峰电子,0.0,-65.06,,0.11,,160.87,-65.74,,04-30
83,601390,中国中铁,0.1,0.0,,1.72,,227416.3,9.76,,04-30
84,000502,绿景控股,-0.08,416.13,,-8.79,,-1517.89,428.96,,04-30
85,000691,ST亚太,-0.0,-2400.0,,-1.53,,-148.1,-2442.61,,04-30
86,000850,华茂股份,0.01,-82.47,,0.3,,1401.93,-82.45,,04-30
87,600754,锦江股份,0.2,7.12,,2.01,,16457.71,7.09,,04-30
88,000501,鄂武商A,0.5,-3.85,,5.99,,25604.96,-2.25,,04-30
89,002413,雷科防务,0.07,40.0,,1.03,,2192.28,108.43,,04-30
90,000410,沈阳机床,-0.16,-9.44,,-6.23,,-12445.6,-11.07,,04-30
91,601100,恒立液压,0.01,0.0,,0.12,,401.52,-26.35,,04-30
92,600339,*ST天利,-0.05,-60.25,,-64.49,,-2759.52,-60.23,,04-30
93,002181,粤传媒,-0.04,-876.79,,-1.31,,-5054.75,-1354.32,,04-30
94,600448,华纺股份,0.01,0.0,,0.36,,301.05,-41.92,,04-30
95,000061,农产品,0.0,-175.0,,0.09,,411.02,-174.84,,04-30
96,002647,宏磊股份,-0.12,-846.88,,-2.66,,-2623.3,-870.38,,04-30
97,600481,双良节能,0.02,-65.03,,1.75,,3694.66,-30.02,,04-30
98,600010,包钢股份,-0.02,-2916.67,,-1.18,,-55044.41,-5664.07,,04-30
99,002067,景兴纸业,0.15,,,5.4,,16256.44,6262.71,,04-30
100,600379,宝光股份,0.03,42.21,,1.52,,666.86,41.97,,04-30
101,600039,四川路桥,0.04,32.98,,1.28,,11338.71,33.36,,04-30
102,600630,龙头股份,0.05,25.0,,1.32,,2247.99,26.63,,04-30
103,600635,大众公用,0.06,34.58,,2.48,,14203.12,101.98,,04-30
104,000928,中钢国际,0.16,23.89,,3.44,,10060.15,23.91,,04-30
105,600104,上汽集团,0.72,6.35,,4.42,,793571.87,6.27,,04-30
106,002531,天顺风能,0.08,-11.11,,3.54,,6965.15,80.16,,04-30
107,000606,*ST易桥,-0.03,-30.02,,-2.21,,-1398.6,-29.89,,04-30
108,600153,建发股份,0.11,-15.38,,1.66,,31805.13,-11.99,,04-30
109,600649,城投控股,0.24,-33.33,,3.49,,71091.27,-34.03,,04-30
110,002702,海欣食品,0.05,-270.83,,1.69,,1275.07,-441.93,,04-30
111,600742,一汽富维,0.35,-10.26,,1.85,,7416.61,-9.85,,04-30
112,000525,红太阳,0.05,-69.81,,0.71,,2795.43,-65.28,,04-30
113,002611,东方精工,0.02,0.0,,0.91,,1123.01,41.08,,04-30
114,600969,郴电国际,0.05,-23.72,,0.45,,1420.07,-23.64,,04-30
115,002345,潮宏基,0.1,11.11,,3.12,,8054.43,0.43,,04-30
116,600579,天华院,-0.02,-600.0,,-0.84,,-602.17,-601.25,,04-30
117,600811,东方集团,0.14,-9.31,,2.22,-0.29,23217.85,-9.34,,04-30
118,002173,*ST创疗,0.07,-333.33,,0.95,,2899.37,-526.58,,04-30
119,000422,湖北宜化,0.02,25.0,,0.2,,1339.73,28.61,,04-30
120,002570,贝因美,0.06,20.0,,1.62,,6004.2,23.61,,04-30
121,000096,广聚能源,0.02,-92.38,,0.4,,809.28,-94.16,,04-30
122,600460,士兰微,0.0,-90.0,,0.09,,206.66,-92.98,,04-30
123,002183,怡亚通,0.16,45.45,,3.19,,16399.33,48.94,,04-30
124,002659,中泰桥梁,-0.01,-0.0,,-0.57,,-341.72,-0.62,,04-30
125,000036,华联控股,0.08,-1135.0,,4.46,,9304.77,-1172.31,,04-30
126,600578,京能电力,0.07,-30.0,,2.07,,33453.09,-26.27,,04-30
127,600018,上港集团,0.05,-20.42,,2.03,,121961.25,-18.93,,04-30
128,000966,长源电力,0.53,9.36,,8.7,,29273.57,9.34,,04-30
129,600639,浦东金桥,0.09,32.38,,1.1,,9913.53,60.05,,04-30
130,000913,*ST钱江,0.1,900.0,,2.22,,4343.3,593.0,,04-30
131,000792,盐湖股份,0.08,821.43,,0.62,,14367.34,978.48,,04-30
132,603979,金诚信,0.12,-25.0,,1.23,,4352.91,-4.54,,04-30
133,600162,香江控股,0.07,-12.5,,2.34,,10437.88,69.96,,04-30
134,002623,亚玛顿,0.07,-41.67,,0.5,,1071.57,-45.46,,04-30
135,601007,金陵饭店,0.03,154.55,,0.59,,834.35,163.22,,04-30
136,002552,宝鼎科技,-0.04,-960.0,,-1.6,,-1283.22,-983.68,,04-30
137,000532,力合股份,0.02,39.39,,0.92,,634.96,40.02,,04-30
138,600843,上工申贝,0.08,3.08,3.28,2.35,,4219.28,3.12,,04-30
139,300401,花园生物,0.02,-71.43,,0.59,,421.64,-36.77,,04-30
140,600776,东方通信,0.01,-40.52,,0.57,,1685.15,-40.53,,04-30
141,600806,*ST昆机,-0.05,-1766.67,,-3.05,,-2672.14,-2021.95,,04-30
142,600330,天通股份,0.06,233.33,,1.42,,5005.54,326.38,,04-30
143,600068,葛洲坝,0.14,26.13,,3.16,,64576.21,26.85,,04-30
144,600261,阳光照明,0.07,-30.0,,3.39,,10060.88,4.18,,04-30
145,603118,共进股份,0.3,20.0,,3.81,,9059.57,42.73,,04-30
146,002130,沃尔核材,0.04,100.0,,1.21,,2052.68,48.37,,04-30
147,002103,广博股份,0.04,100.0,,0.75,,1225.34,255.82,,04-30
148,000632,三木集团,0.0,-26.56,,0.18,,217.29,-26.56,,04-30
149,002140,东华科技,0.04,-28.62,,0.87,,1733.4,-28.63,,04-30
150,600587,新华医疗,0.11,-45.0,,1.32,,4287.91,-46.38,,04-30
151,600438,通威股份,-0.01,-79.28,,-0.18,,-791.01,-75.22,,04-30
152,600029,南方航空,0.27,42.11,,6.66,,268300.0,40.99,,04-30
153,600984,建设机械,-0.04,-51.91,,-0.72,,-2240.87,26.8,,04-30
154,600576,万家文化,0.02,-211.76,,0.71,,1225.93,-435.04,,04-30
155,600093,禾嘉股份,0.08,112.82,,1.66,,9370.6,642.72,,04-30
156,000809,铁岭新城,-0.03,100.0,,-0.66,,-2124.45,204.41,,04-30
157,000625,长安汽车,,,,7.49,,267301.71,7.16,,04-30
158,002489,浙江永强,0.08,-83.67,,5.17,,17266.32,-25.85,,04-30
159,000552,靖远煤电,0.05,-22.73,,0.85,,5230.26,-23.0,,04-30
