,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300598,诚迈科技,0.28,,4.06,7.01,-0.1,1679.98,,,01-09
1,300595,欧普康视,0.84,,5.79,15.67,0.75,4293.11,,,01-04
2,300597,吉大通信,0.08,,2.09,3.71,-0.11,1367.92,,,01-04
3,300599,雄塑科技,0.19,,2.66,6.94,-0.03,4316.85,,,01-03
4,603638,艾迪精密,0.29,,3.5,8.53,0.26,3777.53,,,12-30
5,603038,华立股份,0.82,,9.41,8.66,0.51,4104.48,,,12-30
6,002841,视源股份,0.89,,2.64,37.96,0.58,32403.01,,,12-29
7,603337,杰克股份,0.63,,5.72,11.26,1.03,9760.19,,,12-29
8,603039,泛微网络,0.43,,5.02,10.15,0.57,2135.93,,,12-29
9,002843,泰嘉股份,0.18,,3.63,4.91,0.43,1908.65,,,12-29
10,601858,中国科传,0.08,0.0,2.93,2.8,-0.07,5414.15,2.73,,12-28
11,300592,华凯创意,0.1,,3.28,3.08,-0.09,915.49,,,12-28
12,300596,利安隆,0.54,,5.15,11.13,0.11,4883.01,,,12-28
13,300584,海辰药业,0.35,,4.2,8.7,0.08,2120.28,,,12-28
14,300590,移为通信,0.65,,2.43,25.78,0.67,3875.07,,,12-27
15,002842,翔鹭钨业,0.46,,5.89,8.13,0.68,3471.22,,,12-27
16,603579,荣泰健康,1.91,,7.06,30.72,1.26,10044.57,,,12-27
17,603165,荣晟环保,0.55,,3.48,17.03,0.46,5190.44,,,12-26
18,300589,江龙船艇,0.12,,2.17,5.92,-0.9,810.08,,,12-26
19,603639,海利尔,1.17,-7.87,7.06,17.72,0.57,10534.35,-8.16,,12-22
20,002824,和胜股份,0.42,,4.32,10.05,-0.09,3816.21,,,12-22
21,300591,万里马,0.07,,1.43,5.0,-0.47,1253.43,,,12-20
22,603444,吉比特,5.49,,,48.31,4.76,29312.12,,,12-20
23,603037,凯众股份,0.75,,6.2,11.92,0.54,4483.28,,,12-19
24,300583,赛托生物,0.66,,6.64,10.43,0.4,5266.2,,,12-19
25,603877,太平鸟,0.34,,,8.2,-0.18,14320.9,,,12-19
26,603266,天龙股份,0.51,30.77,5.18,10.36,0.37,3832.56,31.64,,12-19
27,603228,景旺电子,0.68,,4.2,16.96,0.55,24453.62,,,12-16
28,300585,奥联电子,0.43,,3.68,12.44,0.17,2556.18,,,12-16
29,300587,天铁股份,0.48,,5.34,9.32,0.56,3760.28,,,12-16
30,002840,华统股份,0.29,,5.63,5.16,0.84,3833.6,,,12-16
31,603689,皖天然气,0.19,,,4.68,0.67,4889.03,,,12-16
32,002838,道恩股份,0.67,,6.89,10.25,0.52,4232.02,,,12-15
33,002837,英维克,0.63,,4.22,16.07,-0.39,3766.14,,,12-15
34,603035,常熟汽饰,0.54,,6.18,8.68,0.35,11376.08,,,12-15
35,603032,德新交运,0.34,,2.44,14.95,-0.06,3403.15,,,12-15
36,300586,美联新材,0.34,,4.57,7.65,0.71,2425.48,,,12-14
37,603186,华正新材,0.43,,3.78,11.67,0.48,4179.74,,,12-14
38,002839,张家港行,0.2,,4.37,4.73,3.01,33322.7,,,12-13
39,300579,数字认证,0.24,20.0,3.51,6.66,-0.74,1411.09,15.64,,12-08
40,603218,日月股份,0.43,,,10.88,,15646.85,,,12-08
41,300581,晨曦航空,0.54,,6.98,8.04,-0.31,1827.18,,,12-07
42,002833,弘亚数控,0.64,,3.5,18.39,0.93,6387.13,,,12-07
43,300582,英飞特,0.37,,4.24,9.24,0.23,3710.11,,,12-07
