,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,601628,中国人寿,,,,,,359800.0,,,12-19
1,601158,重庆水务,,,,,,1538.64,-31.33,,11-09
2,601398,工商银行,,,,,,2511200.0,,,09-27
3,601988,中国银行,0.09,,,,,1643400.0,,,08-30
4,601168,西部矿业,,,,,,25984.86,,,07-14
5,601328,交通银行,0.12,,,,,460500.0,,,07-14
6,000421,南京公用,,,1.38,-19.37,,-7989.68,-1004.54,,10-28
7,601166,兴业银行,,,,,,,,,09-27
8,600101,明星电力,,,6.16,2.82,,3487.11,6.32,,09-02
9,000035,中国天楹,,,-11.17,,,-3112.88,-330.25,,08-31
10,600039,四川路桥,,,2.98,-1.2,,-1083.0,-586.95,,08-31
11,600220,江苏阳光,,,2.47,0.5,,1140.3,-81.41,,08-31
12,600197,伊力特,,,1.89,3.95,,3473.43,23.45,,08-31
13,600776,东方通信,,,3.69,-2.67,,-6294.11,-278.36,,08-31
14,600844,丹化科技,,,0.24,17.34,,810.48,-155.49,,08-31
15,600007,中国国贸,,,3.14,5.18,,13206.8,20.71,,08-31
16,600681,百川能源,,,-2.32,,,-974.04,49.09,,08-31
17,600710,*ST常林,,,2.06,0.58,,402.47,-95.52,,08-31
18,600741,华域汽车,,,2.48,3.3,,5860.46,-27.9,,08-31
19,600645,中源协和,,,0.86,-4.89,,-1073.63,-30.13,,08-31
20,600830,香溢融通,,,1.94,2.4,,1208.1,-27.47,,08-31
21,600058,五矿发展,,,3.5,10.09,,29368.83,-16.63,,08-31
22,600503,华丽家族,,,0.89,-5.43,,-533.24,-73.52,,08-31
23,000100,TCL集团,,,1.78,-13.55,,-69261.02,-285.5,,08-31
24,600664,哈药股份,,,2.92,6.31,,22036.23,9.07,,08-31
25,600892,大晟文化,,,-0.47,,,115.51,-111.93,,08-31
26,600874,创业环保,,,1.65,4.15,,9378.9,-34.93,,08-31
27,600242,中昌数据,,,1.49,-38.19,,-10536.36,-8212.36,,08-31
28,000517,荣安地产,,,2.55,,,-7978.44,-997.47,,08-31
29,600159,大龙地产,,,0.2,-18.21,,-565.44,-80.84,,08-31
30,600086,东方金钰,,,0.89,0.24,,74.96,-121.13,,08-31
31,600828,茂业商业,,,1.9,-7.85,,-3189.84,-1117.55,,08-31
32,000631,顺发恒业,,,-0.02,,-0.38,-4971.7,-77.38,,08-31
33,600234,*ST山水,,,-4.36,,,-5878.84,156.43,,08-31
34,600614,鹏起科技,,,0.61,-38.38,,-3293.4,-650.93,,08-31
35,000688,建新矿业,,,1.69,-17.75,,-11468.69,-2405.41,,08-31
36,000921,海信科龙,,,2.23,-19.86,,-48694.36,-405.88,,08-31
37,600745,中茵股份,,,-0.46,,,-5768.51,-11450.01,,08-31
38,600019,宝钢股份,,,3.93,13.73,,714527.27,49.06,,08-31
39,000930,中粮生化,,,4.6,4.43,,7906.55,15.41,10转10,08-31
40,000718,苏宁环球,,,-0.51,,,3012.35,-137.67,,08-31
41,600811,东方集团,,,4.07,1.55,,4755.28,-17.83,,08-31
42,600838,上海九百,,,1.49,-1.17,,-706.63,-249.63,,08-30
43,600649,城投控股,,,3.19,3.71,,21854.48,-2.33,,08-30
44,600016,民生银行,0.2,-4.76,2.22,9.45,,126800.9,16.03,,08-30
45,600722,金牛化工,,,2.47,0.48,,503.33,-82.63,,08-30
46,600305,恒顺醋业,,,3.27,4.03,,1642.72,150.89,,08-30
47,600682,南京新百,,,4.09,3.02,,2808.56,12.4,,08-30
48,600446,金证股份,,,4.51,2.02,,654.58,-246.56,,08-30
49,600183,生益科技,,,1.87,3.59,,4564.47,-58.09,,08-30
50,000672,上峰水泥,,,0.73,0.22,,24.77,48.78,,08-30
51,600516,方大炭素,,,3.53,1.82,,1276.21,8.8,,08-30
52,600635,大众公用,,,3.17,3.19,,5520.59,-8.35,,08-30
53,600217,中再资环,,,1.25,-1.85,,-1531.35,-153.3,,08-30
54,600006,东风汽车,,,2.22,6.68,,29502.0,22.21,,08-30
55,600866,*ST星湖,,,1.68,0.88,,781.51,-73.39,,08-30
56,600730,中国高科,,,1.94,2.84,,1330.82,8.27,,08-30
57,600822,上海物贸,,,1.84,2.1,,653.45,77.71,,08-30
58,600798,宁波海运,,,1.59,3.5,,2972.3,-26.67,,08-30
59,600130,波导股份,,,4.46,-5.9,,-10654.4,-195.69,,08-30
60,600798,宁波海运,,,1.59,3.5,,2972.3,-26.67,,08-30
61,600130,波导股份,,,4.46,-5.9,,-10654.4,-195.69,,08-30
62,000717,*ST韶钢,,,6.43,6.99,,37697.11,-49.09,,08-30
63,600186,莲花健康,,,2.19,0.13,,260.28,-103.47,,08-30
64,600866,*ST星湖,,,1.68,0.88,,781.51,-73.39,,08-30
65,600730,中国高科,,,1.94,2.84,,1330.82,8.27,,08-30
66,600750,江中药业,,,4.64,3.72,,2498.95,-24.75,,08-30
67,600088,中视传媒,,,3.13,1.7,,1273.43,92.03,,08-30
68,600115,东方航空,,,1.09,-7.34,,-41045.45,-170.47,,08-30
69,600794,保税科技,,,1.44,-1.4,,-240.73,-157.78,,08-30
70,600641,万业企业,,,4.47,-1.15,,-2320.79,-222.88,,08-30
71,000665,湖北广电,,,1.94,0.28,,77.69,-77.71,,08-30
72,600477,杭萧钢构,,,2.08,4.47,,2313.25,-15.11,,08-30
73,600699,均胜电子,,,2.33,-3.87,,-1711.31,-282.22,,08-30
74,600663,陆家嘴,,,3.39,4.98,,30741.94,-14.03,,08-30
75,600421,仰帆控股,,,3.37,2.01,,912.01,-42.03,,08-30
76,600320,振华重工,,,2.55,15.15,,56817.42,164.11,,08-30
77,002001,新和成,,,6.42,4.72,,3441.58,-14.12,10转5,08-30
78,600485,信威集团,,,1.98,-6.25,,-1749.82,-215.0,,08-30
79,600862,中航高科,,,0.64,2.23,,335.41,-10.49,,08-30
80,600275,武昌鱼,,,1.62,-0.03,,-24.54,-99.0,,08-30
81,600259,广晟有色,,,1.4,-21.16,,-6324.53,161.56,,08-30
82,600608,上海科技,,,2.75,0.59,,406.32,-76.55,,08-30
83,600550,保变电气,,,2.8,2.37,,2237.51,-1.97,,08-30
84,600848,上海临港,,,0.32,2.04,,253.1,1.87,,08-30
85,002024,苏宁云商,,,5.07,13.78,,12295.85,115.69,10转8,08-30
86,600466,蓝光发展,,,5.21,-1.04,,-697.52,-243.46,,08-30
87,000667,美好置业,,,2.39,7.59,,4355.92,55.01,10派3.7,08-30
88,000876,新希望,,,5.27,4.92,0.49,7977.04,6.66,,08-30
89,600802,福建水泥,,,2.08,-4.01,,-2389.04,-150.88,,08-30
90,600715,文投控股,,,0.07,-61.22,,-1086.22,-8.16,,08-30
91,600221,海南航空,,,1.97,0.72,,1028.22,-88.06,,08-30
92,601857,中国石油,,,,,,6222100.0,35.23,,08-30
93,600098,广州发展,,,3.58,3.82,,28511.84,-29.7,,08-30
94,600976,健民集团,,,8.9,0.91,,618.73,-35.79,,08-30
95,600119,长江投资,,,1.75,0.82,,367.95,-39.67,,08-29
96,600876,洛阳玻璃,,,1.34,0.36,,341.4,-89.98,,08-29
97,600548,深高速,,,2.75,3.43,,20754.83,10.7,,08-29
98,600029,南方航空,,,2.47,-7.51,,-84300.0,-353.09,,08-29
99,600038,中直股份,,,3.22,0.64,,707.86,-43.94,,08-29
100,600372,中航电子,,,3.09,0.24,,300.6,-85.7,,08-29
101,600586,金晶科技,,,3.16,5.0,,2961.82,13.1,,08-29
102,600749,西藏旅游,,,1.28,9.93,,975.13,115.08,,08-29
103,600316,洪都航空,,,4.72,3.61,,4230.6,109.64,,08-29
104,600873,梅花生物,,,1.68,2.1,,378.22,-45.63,,08-29
105,600012,皖通高速,,,2.55,6.08,,25958.68,44.46,,08-29
106,600871,石化油服,,,2.18,-5.15,,-46243.1,-337.73,,08-29
107,600829,人民同泰,,,1.68,4.54,,2788.5,-450.07,,08-29
108,600657,信达地产,,,1.42,-17.94,,-8004.96,37.7,,08-29
109,600338,西藏珠峰,,,-0.1,,,-2564.1,62.78,,08-29
110,600300,维维股份,,,4.23,4.33,,6096.37,0.22,,08-29
111,600178,东安动力,,,3.41,3.19,,5008.49,-20.09,,08-29
112,600489,中金黄金,,,2.69,3.97,,3063.67,73.46,,08-29
113,600028,中国石化,,,2.28,9.29,,1804400.0,19.98,,08-29
114,600077,宋都股份,,,2.32,0.71,,207.52,-129.0,,08-29
115,000036,华联控股,,,3.77,-1.15,-0.04,-1952.64,-822.82,,08-29
116,000016,深康佳A,,,5.34,0.73,,2334.84,-45.04,,08-27
117,000596,古井贡酒,,,3.48,-2.45,,-2025.03,-434.57,,08-27
118,600288,大恒科技,,,3.77,1.94,,1525.07,5.46,,08-27
119,600381,青海春天,,,1.35,0.57,,218.23,-78.43,,08-27
120,600247,ST成城,,,1.76,2.78,,1146.42,27.96,,08-27
121,600272,开开实业,,,0.55,2.18,,291.04,-75.14,,08-27
122,600712,南宁百货,,,1.1,2.16,,343.44,-1.86,,08-27
123,000650,仁和药业,,,0.82,-3.63,,-596.49,-788.3,,08-27
124,600651,飞乐音响,,,1.81,3.09,,2336.94,-2.56,,08-27
125,600796,钱江生化,,,1.95,3.71,,1560.76,-6.34,,08-27
126,600061,国投安信,,,1.3,-1.04,,-509.01,-420.15,,08-27
127,600213,亚星客车,,,2.19,1.36,,563.12,-49.09,,08-27
128,600528,中铁二局,,,4.29,1.7,,3010.08,1.7,,08-27
129,000009,中国宝安,,,1.26,0.72,,865.91,44.65,,08-27
130,600209,罗顿发展,,,1.68,-1.49,,-1102.97,-436.71,,08-27
131,600787,中储股份,,,1.82,2.64,,2934.36,-9.74,,08-27
132,600093,禾嘉股份,,,1.49,0.6,,254.78,-45.57,,08-27
133,000927,一汽夏利,,,1.74,2.21,,6058.19,-19.1,,08-27
134,000882,华联股份,,,1.89,0.98,,457.43,118.88,,08-27
135,600734,实达集团,,,1.07,-9.18,,-3794.77,-50.13,,08-27
136,600626,申达股份,,,3.1,3.0,,4448.9,-19.16,,08-27
137,600074,保千里,,,3.24,3.01,,3660.8,-34.1,,08-27
138,600716,凤凰股份,,,1.36,2.15,,1639.28,-45.83,,08-27
139,000693,ST华泽,,,1.7,-16.39,,-5841.01,-1149.24,,08-27
140,600602,云赛智联,,,2.97,-4.76,,-13664.13,-259.22,,08-27
141,600885,宏发股份,,,1.62,1.12,,233.81,-39.61,,08-27
142,000637,茂化实华,,,1.67,-5.26,,-3268.74,-184.4,,08-27
143,000729,燕京啤酒,,,4.28,3.42,,14672.45,5.21,,08-27
144,600168,武汉控股,,,3.05,0.63,,863.61,-37.63,,08-27
145,600180,瑞茂通,,,4.02,4.03,,4066.77,0.4,,08-27
146,000411,英特集团,,,0.75,3.27,,276.03,4246.67,,08-27
147,600345,长江通信,,,4.74,0.98,,916.27,1.73,,08-27
148,600604,市北高新,,,1.17,0.46,,303.32,-36.74,,08-27
149,600593,大连圣亚,,,3.28,0.19,,57.18,61.33,,08-27
150,600721,*ST百花,,,1.39,-9.29,,-1280.71,-485.58,,08-27
151,600108,亚盛集团,,,1.7,0.84,,1335.74,-77.59,,08-27
152,000950,*ST建峰,,,1.13,-11.56,,-2157.07,-35.03,,08-27
153,000034,神州数码,,,-0.99,,,-4264.63,-82.52,,08-27
154,600360,华微电子,,,5.95,6.23,,4255.71,129.58,10转10,08-27
155,600390,*ST金瑞,,,6.05,-10.43,,-7073.26,-549.1,,08-27
156,600239,云南城投,,,1.84,0.28,,90.91,-138.92,,08-27
157,600618,氯碱化工,,,2.47,-1.4,,-4044.32,-153.75,,08-27
158,600091,ST明科,,,5.8,1.12,,2180.41,-44.79,,08-27
159,600729,重庆百货,,,2.83,6.45,,3771.5,-15.76,,08-27
160,600846,同济科技,,,1.72,2.4,,1151.39,227.73,,08-27
161,600835,上海机电,,,3.97,3.5,,12253.36,-37.0,,08-27
162,600841,上柴股份,,,3.81,,,4255.54,-76.39,,08-27
163,600777,新潮能源,,,4.06,1.45,,2007.66,6.28,,08-27
164,600129,太极集团,,,4.0,4.62,,4560.86,1.21,,08-27
165,000909,数源科技,,,2.77,0.3,,166.99,8.93,,08-27
166,600634,中技控股,,,2.31,2.22,,443.36,-161.74,,08-27
167,600856,中天能源,,,1.88,0.54,,184.23,-252.94,,08-27
168,600779,水井坊,,,2.2,2.54,,2817.83,365.93,,08-27
169,000727,华东科技,,,3.08,-1.18,,-1330.28,-208.66,,08-27
170,600369,西南证券,,,1.93,-19.16,,-7006.77,107.3,,08-27
171,000906,浙商中拓,,,1.76,0.71,,296.36,-29.49,,08-27
172,600784,鲁银投资,,,1.25,4.19,,1226.55,-20.04,,08-27
173,600654,中安消,,,1.97,1.37,,1688.04,4.62,,08-27
174,601607,上海医药,,,3.83,2.83,,5131.56,-42.28,,08-27
175,000520,长航凤凰,,,2.52,0.96,,1265.99,-42.55,,08-27
176,600422,昆药集团,,,2.19,4.86,,3284.46,-10.23,,08-27
177,600599,熊猫金控,,,2.01,-8.29,,-2207.93,-423.96,,08-27
178,000518,四环生物,,,1.07,0.07,,78.83,-98.43,,08-27
179,600800,天津磁卡,,,1.5,2.79,,2215.62,78.51,,08-26
180,600860,京城股份,,,3.0,2.78,,3563.62,-39.6,,08-26
181,600703,三安光电,,,1.75,-7.01,,-1516.51,-265.28,,08-26
182,002036,联创电子,,,3.53,3.38,,1002.87,20.62,,08-26
183,600050,中国联通,,,2.18,3.0,,138356.81,-11.67,,08-26
184,600167,联美控股,,,2.48,1.27,,591.31,-42.06,,08-26
185,600027,华电国际,,,1.98,3.91,,45405.3,-30.96,,08-26
186,000831,*ST五稀,,,2.97,1.82,,1945.89,-44.01,,08-26
187,600658,电子城,,,1.35,-3.59,,-827.56,-165.35,,08-26
188,600198,大唐电信,,,3.69,-7.69,,-12939.65,-4911.33,,08-26
189,600189,吉林森工,,,4.25,3.62,,5022.1,-1.16,,08-26
190,600225,天津松江,,,1.77,0.84,,326.21,-47.84,,08-26
191,600251,冠农股份,,,2.2,3.68,,1427.14,226.39,,08-26
192,600277,亿利洁能,,,4.65,2.29,,1831.43,1.34,,08-26
193,600973,宝胜股份,,,4.85,3.95,,2258.02,5.18,,08-26
194,600327,大东方,,,2.65,7.27,,4305.73,12.82,,08-26
195,600163,中闽能源,,,3.71,0.28,,319.6,216.83,,08-26
196,000752,西藏发展,,,2.65,3.26,,1497.36,-35.6,,08-26
197,000979,中弘股份,,,1.53,-13.55,,-1821.85,-547.75,,08-26
198,600707,彩虹股份,,,4.49,-1.76,,-3581.15,-129.36,,08-26
199,000498,山东路桥,,,1.35,2.13,,1106.38,-83.29,,08-26
200,000725,京东方A,,,2.74,-22.18,,-98874.58,-289.71,,08-26
201,000885,同力水泥,,,0.43,-33.49,,-2757.89,4.31,,08-26
202,600505,西昌电力,,,1.88,2.46,,1179.81,6.24,,08-26
203,600000,浦发银行,0.28,26.46,3.61,7.93,0.79,110286.36,26.27,,08-26
204,600744,华银电力,,,3.64,-9.37,,-25438.88,-756.06,,08-26
205,000543,皖能电力,,,3.07,0.84,,2044.45,-76.47,,08-26
206,600688,上海石化,,,2.66,8.37,,165052.0,7.79,,08-26
207,000088,盐田港,,,2.4,7.43,,27237.07,-10.7,,08-26
208,000065,北方国际,,,2.65,2.92,,1255.72,-15.0,,08-26
209,600653,申华控股,,,1.15,-1.66,,-2800.49,-1390.5,,08-26
210,600175,美都能源,,,4.43,0.94,,443.01,-194.95,,08-26
211,600215,长春经开,,,6.25,0.54,,1212.0,-46.96,,08-26
212,600295,鄂尔多斯,,,3.02,2.23,,7158.37,-10.39,,08-26
213,000615,京汉股份,,,4.3,0.59,,396.45,-79.18,,08-26
214,600743,华远地产,,,0.13,6.96,,56.72,-52.71,,08-26
