,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002841,视源股份,0.91,,,51.33,1.05,32932.06,,,01-18
1,603690,至纯科技,0.07,,,,,1154.58,,,01-12
2,603579,荣泰健康,1.65,,,,,8678.02,,,01-10
3,300598,诚迈科技,0.51,,,14.75,-0.04,3031.82,,,01-09
4,603877,太平鸟,0.66,,,19.2,-0.32,27521.45,,,01-06
5,603228,景旺电子,0.9,,,,,32341.59,,,01-05
6,300597,吉大通信,0.2,,,9.4,,3574.1,,,01-04
7,300595,欧普康视,,,,,,6594.87,,,01-04
8,300599,雄塑科技,0.27,,,10.87,-0.06,6137.85,,,01-03
9,603038,华立股份,1.0,-0.99,,12.28,,5023.86,-0.95,,12-30
10,002843,泰嘉股份,0.31,,,8.66,,3209.85,,,12-29
11,603337,杰克股份,0.84,-11.58,,17.24,,13091.66,-11.01,,12-29
12,603039,泛微网络,0.31,,,,,1570.56,,,12-29
13,300584,海辰药业,0.37,,,,,2341.25,,,12-28
14,300592,华凯创意,0.1,,,,,877.51,,,12-28
15,300596,利安隆,0.63,,,15.4,,5694.04,,,12-28
16,603886,元祖股份,0.67,,,,,12062.14,,,12-27
17,300590,移为通信,1.19,,,52.2,,7117.21,,,12-27
18,300593,新雷能,0.37,,,10.72,,3203.82,,,12-23
19,002824,和胜股份,0.38,,,9.96,,3415.4,,,12-22
20,603639,海利尔,,,,,,12221.8,,,12-22
21,300591,万里马,,,,,,1729.6,,,12-20
22,603266,天龙股份,0.57,,,,,4291.04,,,12-19
23,300585,奥联电子,0.49,,,16.13,0.57,2950.64,,,12-16
24,300587,天铁股份,0.52,,,11.36,-0.1,4024.3,,,12-16
25,002840,华统股份,0.32,,,,,4264.21,,,12-16
26,603032,德新交运,0.35,,,15.52,,3533.13,,,12-15
27,002838,道恩股份,0.66,,,11.76,,4143.99,,,12-15
28,300586,美联新材,0.42,,,10.74,,2994.2,,,12-14
29,300571,平治信息,0.46,,,14.69,0.08,1390.21,,,12-12
30,300579,数字认证,0.22,,,7.59,,1320.91,,,12-08
31,002827,高争民爆,0.31,,,,,4244.07,,,12-08
32,300582,英飞特,0.52,,,,,5171.13,,,12-07
33,002828,贝肯能源,0.41,,,8.16,-0.42,3591.01,,,12-07
34,300581,晨曦航空,0.64,,,12.35,,2179.33,,,12-07
35,002833,弘亚数控,0.69,,,23.79,,6874.69,,,12-07
36,300577,开润股份,0.9,,,26.88,,4499.92,,,12-06
37,300576,容大感光,0.34,,,9.19,,2054.03,,,12-05
38,603577,汇金通,0.37,,,,,3229.77,,,12-01
39,603559,中通国脉,0.24,,,,,1586.8,,,12-01
40,300580,贝斯特,0.41,,,11.46,,6185.06,,,12-01
41,002829,星网宇达,0.51,,,10.41,,2918.93,,,11-30
42,002830,名雕股份,0.36,,,,,1797.25,,,11-29
43,603319,湘油泵,0.59,,,10.46,0.76,3597.87,,,11-29
44,002825,纳尔股份,0.61,,,16.81,0.59,4597.85,,,11-28
45,603323,吴江银行,0.53,,,8.47,,53548.8,,,11-28
46,002822,中装建设,0.39,,,10.01,-0.55,8814.42,,,11-28
47,300573,兴齐眼药,0.37,,,,,2197.96,,,11-25
48,002831,裕同科技,1.24,,,,,44717.01,,,11-25
49,603819,神力股份,0.38,,,7.69,0.09,3386.67,,,11-24
50,603336,宏辉果蔬,0.44,,,11.92,,4378.41,,,11-23
51,603900,通灵珠宝,0.78,,,,,14137.7,,,11-22
52,300572,安车检测,0.65,,,14.28,,3253.33,,,11-21
