,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
239,601601,中国太保,0.54,54.29,13.66,4.1,0.7,490300.0,52.69,,04-30
240,603268,松发股份,0.18,-14.29,,4.1,,1210.82,-12.74,,04-30
241,603025,大豪科技,0.11,-35.29,,4.59,,4254.99,-36.07,,04-30
242,002204,大连重工,0.01,0.0,,0.14,,892.74,65.55,,04-30
243,000017,深中华A,0.0,-16.67,,2.26,,27.23,-23.15,,04-30
244,600620,天宸股份,0.13,13.81,,6.63,,5737.31,13.88,,04-30
245,600648,外高桥,0.21,600.0,,2.67,,24060.85,612.84,,04-30
246,600730,中国高科,0.09,-78.05,,1.99,,2702.62,-77.48,,04-30
247,600093,禾嘉股份,0.04,-2.5,,2.71,,1261.66,-1.56,,04-30
248,600676,交运股份,0.09,1.08,,2.29,,8035.21,1.11,,04-30
249,000809,铁岭新城,-0.01,-75.66,,-0.2,,-697.89,-76.23,,04-30
250,000625,长安汽车,0.53,26.19,,9.28,,249449.12,26.45,,04-30
251,600736,苏州高新,0.01,-12.43,,0.45,,1569.76,-12.42,,04-30
252,300094,国联水产,-0.06,-220.0,4.8,-1.29,0.05,-2200.75,-237.06,,04-30
253,600882,广泽股份,-0.01,-104.76,,-0.2,,-271.23,-103.18,,04-30
254,000018,神州长城,-0.0,-80.0,,-0.3,,-39.08,-65.86,,04-30
255,601318,中国平安,2.19,59.85,34.43,6.6,6.7,1996400.0,84.7,,04-30
256,603806,福斯特,0.27,-10.0,,2.81,,10831.14,5.62,,04-30
257,000673,当代东方,-0.02,62.0,,-61.71,,-506.32,57.01,,04-30
258,603606,东方电缆,0.05,-16.67,,0.95,,733.28,4.71,,04-30
259,600796,钱江生化,0.02,100.0,,1.02,,556.33,43.56,,04-30
260,000411,英特集团,0.08,14.39,,2.72,,1682.58,14.39,,04-30
261,603828,柯利达,0.24,14.29,,3.81,,2470.89,31.29,,04-30
262,000876,新希望,0.25,56.25,,2.87,,51522.82,81.98,,04-30
263,603729,龙韵股份,-0.05,-50.0,,-1.81,,-329.52,-31.47,,04-30
264,002069,*ST獐岛,-0.01,-125.0,,-0.84,,-942.16,-133.69,,04-30
265,600568,中珠医疗,0.03,-44.7,,0.67,,1585.91,-23.43,,04-30
266,600336,澳柯玛,0.03,25.27,,2.33,,2335.95,25.53,,04-30
267,601939,建设银行,0.27,3.85,5.26,5.26,,6700500.0,1.86,,04-30
268,600038,中直股份,0.1,5.32,,1.0,,6185.7,5.38,,04-30
269,600626,申达股份,0.04,-17.37,,1.1,,2499.75,-17.44,,04-30
270,601766,中国中车,0.07,16.67,,2.37,,97172.07,25.84,,04-30
