,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,601688,华泰证券,,,,,,-14302.29,,,09-06
1,601166,兴业银行,,,2.67,,-3.75,59366.07,,,03-27
2,000035,中国天楹,,,-10.89,,,-329.82,-131.14,,08-15
3,600635,大众公用,,,3.11,,,2504.36,-2.18,,06-30
4,000596,古井贡酒,,,3.78,,,-1516.32,-264.26,,06-30
5,000620,新华联,,,0.31,,,-5802.1,-3239.57,,06-22
6,600159,大龙地产,,,0.88,,,-521.41,-73.17,,04-30
7,000719,大地传媒,,,2.19,,,35.96,-84.44,,04-30
8,000529,广弘控股,,,-0.16,,,-3824.18,-5446.51,,04-30
9,600988,赤峰黄金,,,3.57,,,-283.51,-399.24,,04-30
10,600136,当代明诚,,,0.13,,,-877.07,81.35,,04-30
11,000156,华数传媒,,,1.58,,,-555.56,-237.32,,04-30
12,600259,广晟有色,,,1.52,,,-3811.78,-20022.2,,04-30
13,002038,双鹭药业,,,4.27,,,640.37,,,04-30
14,600307,酒钢宏兴,,,5.06,,,22218.76,0.86,,04-30
15,600359,新农开发,,,3.68,,,1479.23,-58.1,,04-30
16,600634,中技控股,,,2.31,,,487.09,-225.88,,04-30
17,000615,京汉股份,,,4.3,,,37.35,-97.0,,04-30
18,600369,西南证券,,,2.22,,,-1696.42,-8.36,,04-30
19,600617,国新能源,,,0.09,,,114.18,-115.55,,04-30
20,600654,中安消,,,1.96,,,874.56,9.19,,04-30
21,600678,四川金顶,,,1.43,,,65.54,-68.33,,04-30
22,600825,新华传媒,,,4.61,,,572.6,-6.46,,04-30
23,600175,美都能源,,,4.42,,,337.28,338.58,,04-30
24,600215,长春经开,,,6.22,,,148.34,-42.78,,04-30
25,600238,海南椰岛,,,2.96,,,722.69,22.49,,04-30
26,000693,ST华泽,,,1.88,,,-2366.15,-675.4,,04-30
27,600891,秋林集团,,,1.15,,,-333.03,-78.64,,04-30
28,600234,*ST山水,,,-4.05,,,-2644.21,-1998.94,,04-30
29,600614,鹏起科技,,,0.69,,,-2050.78,-1165.65,,04-30
30,600633,浙报传媒,,,1.34,,,-330.27,-252.04,,04-30
31,000925,众合科技,,,4.04,,,118.68,17.13,,04-30
32,600077,宋都股份,,,2.31,,,66.19,-111.75,,04-30
33,600830,香溢融通,,,2.01,,,351.38,6.95,,04-30
34,000007,全新好,,,0.63,,,1434.64,-225.78,,04-30
35,600221,海南航空,,,1.98,,,1368.87,-73.59,,04-30
36,600248,延长化建,,,3.26,,,-227.59,-50.83,,04-30
37,000637,茂化实华,,,1.7,,,-2208.73,-178.67,,04-30
38,600339,*ST天利,,,2.1,,,1638.93,-26.55,,04-30
39,600862,中航高科,,,0.63,,,110.43,-120.44,,04-30
40,600652,游久游戏,,,2.04,,,1211.71,-38.36,,04-30
41,600515,海航基础,,,0.33,,,-348.8,-128.53,,04-30
42,600019,宝钢股份,,,3.59,,,307293.92,20.69,,04-30
43,002029,七匹狼,,,3.68,,,1298.92,,,04-30
44,600770,综艺股份,,,2.26,,,404.41,-31.95,,04-30
45,600085,同仁堂,,,6.14,,,7902.67,8.08,,04-30
46,600139,西部资源,,,1.45,,,-88.46,-549.5,,04-30
47,600195,中牧股份,,,2.28,,,2630.76,-34.24,,04-30
48,000100,TCL集团,,,1.98,,,-32723.34,-232.17,,04-30
49,600280,中央商场,,,4.55,,,1761.3,0.12,,04-30
50,600883,博闻科技,,,1.33,,,266.11,25.88,,04-30
51,600109,国金证券,,,2.91,,,3.99,-98.88,,04-30
52,000677,恒天海龙,,,1.72,,,1450.82,-53.17,,04-30
53,600588,用友网络,,,8.11,,,2123.28,3.68,,04-30
54,600677,航天通信,,,1.64,,,75.63,15.17,,04-30
55,000598,兴蓉环境,,,3.7,,,125.2,-77.18,,04-30
56,000638,万方发展,,,-2.55,,,19.72,-116.63,,04-30
57,600068,葛洲坝,,,4.88,,,540.02,-13.31,,04-30
58,002023,海特高新,,,5.34,,,465.76,,,04-30
59,600481,双良节能,,,3.05,,,934.52,-43.07,,04-30
60,000301,东方市场,,,2.87,,,328.68,-79.26,,04-30
61,000665,湖北广电,,,1.94,,,77.0,-85.09,,04-30
62,600699,均胜电子,,,2.44,,,128.53,-74.85,,04-30
63,600329,中新药业,,,4.41,,,2442.14,0.92,,04-30
64,600745,中茵股份,,,-0.02,,,-422.43,-2749.51,,04-30
65,600657,信达地产,,,1.52,,,-2460.39,30.9,,04-30
66,600179,安通控股,,,2.6,,,350.25,-47.24,,04-30
67,600300,维维股份,,,4.42,,,3867.28,1.4,,04-30
68,000631,顺发恒业,,,0.21,,,-1560.67,7.14,,04-30
69,600242,中昌数据,,,1.98,,,-2184.42,-2690.02,,04-30
70,600643,爱建集团,,,3.38,,,1511.02,-39.01,,04-30
71,600129,太极集团,,,3.89,,,1662.3,1.11,,04-30
72,600776,东方通信,,,3.84,,,702.38,-76.98,,04-30
73,002032,苏泊尔,,,5.03,,,1442.58,,,04-30
74,000156,华数传媒,,,1.58,,,-555.56,-237.32,,04-30
75,600259,广晟有色,,,1.52,,,-3811.78,-20022.2,,04-30
76,002038,双鹭药业,,,4.27,,,640.37,,,04-30
77,600307,酒钢宏兴,,,5.06,,,22218.76,0.86,,04-30
78,600359,新农开发,,,3.68,,,1479.23,-58.1,,04-30
79,600634,中技控股,,,2.31,,,487.09,-225.88,,04-30
80,600159,大龙地产,,,0.88,,,-521.41,-73.17,,04-30
81,000719,大地传媒,,,2.19,,,35.96,-84.44,,04-30
82,000529,广弘控股,,,-0.16,,,-3824.18,-5446.51,,04-30
83,600988,赤峰黄金,,,3.57,,,-283.51,-399.24,,04-30
84,600136,当代明诚,,,0.13,,,-877.07,81.35,,04-30
85,600215,长春经开,,,6.22,,,148.34,-42.78,,04-30
86,600238,海南椰岛,,,2.96,,,722.69,22.49,,04-30
87,000693,ST华泽,,,1.88,,,-2366.15,-675.4,,04-30
88,000615,京汉股份,,,4.3,,,37.35,-97.0,,04-30
89,600369,西南证券,,,2.22,,,-1696.42,-8.36,,04-30
90,600617,国新能源,,,0.09,,,114.18,-115.55,,04-30
91,600654,中安消,,,1.96,,,874.56,9.19,,04-30
92,600678,四川金顶,,,1.43,,,65.54,-68.33,,04-30
93,600825,新华传媒,,,4.61,,,572.6,-6.46,,04-30
94,600175,美都能源,,,4.42,,,337.28,338.58,,04-30
95,600221,海南航空,,,1.98,,,1368.87,-73.59,,04-30
96,600248,延长化建,,,3.26,,,-227.59,-50.83,,04-30
97,000637,茂化实华,,,1.7,,,-2208.73,-178.67,,04-30
98,600339,*ST天利,,,2.1,,,1638.93,-26.55,,04-30
99,600891,秋林集团,,,1.15,,,-333.03,-78.64,,04-30
100,600234,*ST山水,,,-4.05,,,-2644.21,-1998.94,,04-30
101,600614,鹏起科技,,,0.69,,,-2050.78,-1165.65,,04-30
102,600633,浙报传媒,,,1.34,,,-330.27,-252.04,,04-30
103,000925,众合科技,,,4.04,,,118.68,17.13,,04-30
104,600077,宋都股份,,,2.31,,,66.19,-111.75,,04-30
105,600830,香溢融通,,,2.01,,,351.38,6.95,,04-30
106,000007,全新好,,,0.63,,,1434.64,-225.78,,04-30
107,000100,TCL集团,,,1.98,,,-32723.34,-232.17,,04-30
108,600280,中央商场,,,4.55,,,1761.3,0.12,,04-30
109,600862,中航高科,,,0.63,,,110.43,-120.44,,04-30
110,600652,游久游戏,,,2.04,,,1211.71,-38.36,,04-30
111,600515,海航基础,,,0.33,,,-348.8,-128.53,,04-30
112,600019,宝钢股份,,,3.59,,,307293.92,20.69,,04-30
113,002029,七匹狼,,,3.68,,,1298.92,,,04-30
114,600770,综艺股份,,,2.26,,,404.41,-31.95,,04-30
115,600085,同仁堂,,,6.14,,,7902.67,8.08,,04-30
116,600139,西部资源,,,1.45,,,-88.46,-549.5,,04-30
117,600195,中牧股份,,,2.28,,,2630.76,-34.24,,04-30
118,000598,兴蓉环境,,,3.7,,,125.2,-77.18,,04-30
119,000638,万方发展,,,-2.55,,,19.72,-116.63,,04-30
120,600248,延长化建,,,3.26,,,-227.59,-50.83,,04-30
121,000637,茂化实华,,,1.7,,,-2208.73,-178.67,,04-30
122,600339,*ST天利,,,2.1,,,1638.93,-26.55,,04-30
123,600891,秋林集团,,,1.15,,,-333.03,-78.64,,04-30
124,600234,*ST山水,,,-4.05,,,-2644.21,-1998.94,,04-30
125,600614,鹏起科技,,,0.69,,,-2050.78,-1165.65,,04-30
