date,open,high,close,low,volume,amount
2011-01-04,3155.5570000000002,3194.3579999999997,3189.6820000000002,3143.6040000000003,8541044000,129159618560
2011-01-05,3170.1809999999996,3193.7790000000005,3175.6620000000003,3158.8709999999996,7926880800,116943216640
2011-01-06,3177.835,3198.052,3159.643,3152.572,5968109200,91568447488
2011-01-07,3156.362,3209.9,3166.6240000000003,3141.125,8409323200,113651253248
2011-01-10,3162.085,3182.782,3108.187,3102.428,6549440800,87992885248
2011-01-11,3096.2490000000003,3131.292,3124.922,3084.513,5698591600,74832445440
2011-01-12,3135.18,3153.43,3142.337,3099.413,5849852000,71551418368
2011-01-13,3153.985,3157.0359999999996,3141.284,3127.158,5193698800,66925785088
2011-01-14,3129.667,3129.667,3091.862,3083.511,5335144000,71012098048
2011-01-17,3067.433,3078.88,2974.35,2968.61,6680756000,85454118912
2011-01-18,2965.4240000000004,2984.47,2977.6479999999997,2947.6,4296456400,54652416000
2011-01-19,2978.4570000000003,3045.605,3044.8509999999997,2967.243,5657194400,72772222976
2011-01-20,3037.862,3037.862,2944.7129999999997,2944.498,6104664400,76440117248
2011-01-21,2935.2329999999997,3030.265,2983.4559999999997,2935.138,7310296800,85157789696
2011-01-24,2986.092,2999.2009999999996,2954.232,2943.92,6547254400,75805237248
2011-01-25,2949.647,2960.587,2938.6540000000005,2919.1620000000003,4898268800,57572818944
2011-01-26,2939.7729999999997,2982.322,2978.4309999999996,2939.3559999999998,4337498000,51746037760
2011-01-27,2953.5890000000004,3037.159,3026.466,2935.2709999999997,8258592000,96976027648
2011-01-28,3020.1220000000003,3047.2659999999996,3036.735,3011.375,6301358800,78241914880
2011-01-31,3035.4179999999997,3076.547,3076.508,3032.449,6710591200,83070312448
2011-02-01,3083.493,3087.225,3077.283,3062.83,4986252800,65832697856
2011-02-09,3055.3979999999997,3087.551,3040.949,3031.7490000000003,6039414400,78148354048
2011-02-10,3034.079,3105.324,3104.163,3024.349,6660366400,86967271424
2011-02-11,3100.2740000000003,3133.4990000000003,3120.9559999999997,3092.5820000000003,7597555200,99001499648
2011-02-14,3123.2459999999996,3227.4320000000002,3219.143,3123.2459999999996,12130232800,155829387264
