,opDate,rzye,rzmre,rqyl,rqylje,rqmcl,rzrqjyzl
0,2013-12-31,227978800560,8322266045,281121010,1941704951,395736654,229920505511
1,2013-12-30,227841453605,7661097572,223145036,1576943369,352047019,229418396974
2,2013-12-27,226225117946,7154176521,235543329,1633137598,338202390,227858255544
3,2013-12-26,226080169376,7599426050,219639719,1555870062,368615931,227636039438
4,2013-12-25,225648698731,7189385295,222519884,1601746673,384986688,227250445404
5,2013-12-24,224885880852,7147729797,235599691,1623243047,364602298,226509123899
6,2013-12-23,224630867846,6322420368,253981537,2056358199,371608489,226687226045
7,2013-12-20,224521974124,8431881585,237090064,1991697488,359249900,226513671612
8,2013-12-19,223938461000,7640597803,283875618,2222825167,409196018,226161286167
9,2013-12-18,223477645995,6566113157,300506152,2331707768,413646467,225809353763
10,2013-12-17,223119201208,7944323087,295652201,2289216797,441217017,225408418005
11,2013-12-16,222639526363,10065271956,293988236,2295022879,380482967,224934549242
12,2013-12-13,222160998519,8306245916,301534200,2400704905,301663085,224561703424
13,2013-12-12,221822316366,9104756903,310135655,2475665080,344642278,224297981446
14,2013-12-11,221251487178,11396977221,299368754,2439830624,319960864,223691317802
15,2013-12-10,220430882924,10904198792,362807454,2719960237,413847769,223150843161
16,2013-12-09,219870191278,10295777349,359392520,2691086939,444643920,222561278217
17,2013-12-06,219018926924,11386150208,345786178,2687886724,425520920,221706813648
18,2013-12-05,218992823965,13270367701,387724054,2908320533,484020701,221901144498
19,2013-12-04,217474470295,16912819278,412208484,2920550103,634296804,220395020398
20,2013-12-03,215434592177,11588419026,412217007,2875096546,397853341,218309688723
21,2013-12-02,214501095497,18825414865,409942747,2871419826,583814195,217372515323
22,2013-11-29,214338911415,12276834363,350778504,2658498226,303102807,216997409641
23,2013-11-28,213683293087,15322298770,406972873,2760348375,501833255,216443641462
24,2013-11-27,212898156243,13499390746,418182873,2796133632,512622586,215694289875
25,2013-11-26,211631484011,10115487484,420454976,2740380984,352605025,214371864995
26,2013-11-25,210513952379,11502984333,437176325,2766978465,386004112,213280930844
27,2013-11-22,209874858137,12613775426,439028276,2790740399,361300354,212665598536
28,2013-11-21,210072572200,14047646788,456017443,2836659491,446905061,212909231691
29,2013-11-20,209551620382,11941657028,476549154,2899116267,301975097,212450736649
30,2013-11-19,208019451901,14291513606,494243074,2945513244,358409734,210964965145
31,2013-11-18,206617132564,17385149820,534028529,3031303176,590106038,209648435740
32,2013-11-15,204613488552,12875770762,416139904,2471550714,475180877,207085039266
33,2013-11-14,204094642394,8086155715,413585407,2432882670,391075257,206527525064
34,2013-11-13,203714786414,7971881104,389609409,2291868589,298198432,206006655003
35,2013-11-12,204586680613,7050099028,413180144,2366914676,334986582,206953595289
36,2013-11-11,205042273510,6425591468,373798185,2177365481,307234108,207219638991
37,2013-11-08,205288449011,7553280095,344690470,2135590463,333473813,207424039474
38,2013-11-07,205764221280,7550981079,389870040,2345686986,323705640,208109908266
39,2013-11-06,205683423245,9209313933,386999073,2429767206,375285339,208113190451
40,2013-11-05,205472045476,8215742533,399299586,2496007077,368508807,207968052553
41,2013-11-04,205076226328,7331468487,396486629,2477597195,299001952,207553823523
42,2013-11-01,204392050866,7333884215,387365408,2426487149,336480756,206818538015
43,2013-10-31,205743564821,9119163699,384826016,2410668233,363523110,208154233054
44,2013-10-30,205960182509,10483842273,391498211,2493786032,477256380,208453968541
45,2013-10-29,205671288019,12384293585,351767184,2334651767,518587949,208005939786
46,2013-10-28,207060004715,8194772139,344384698,2273933933,325363016,209333938648
47,2013-10-25,206294779848,10652188072,340504377,2233689869,338160431,208528469717
48,2013-10-24,206258104969,9279885380,365061476,2350893103,366287337,208608998072
49,2013-10-23,205582514365,12942644847,366302833,2381959619,473153968,207964473984
50,2013-10-22,205600238723,14930082234,368793983,2448248584,407944680,208048487307
51,2013-10-21,204341953702,13903779523,371051278,2472862227,464469181,206814815929
52,2013-10-18,202632187972,9052738286,363569973,2392196627,340294381,205024384599
53,2013-10-17,203294640806,11697484959,346092176,2324039569,314307037,205618680375
54,2013-10-16,202459072287,14308912267,333200336,2307926333,352876240,204766998620
55,2013-10-15,202446094767,14754585887,366045786,2497712626,344150755,204943807393
56,2013-10-14,200189301778,16401031686,367437599,2495987584,393230731,202685289362
57,2013-10-11,197583295389,15382323544,359200108,2467334758,441604632,200050630147
