,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye,opDate
0,450021192,14383321979,12610651,24912118,289131657,14672453636,2012-01-04
0,380923986,14234031728,17378739,28131392,276181136,14510212864,2012-01-05
0,356145055,14182755964,16944488,26329396,265081248,14447837212,2012-01-06
0,546733494,13966086772,15887101,23606771,281265839,14247352611,2012-01-09
0,876894266,13836347686,28081337,32518755,310603034,14146950720,2012-01-10
0,696579821,13849374237,14556425,28427742,288041550,14137415787,2012-01-11
0,580949882,13791890433,10005023,27264440,281191691,14073082124,2012-01-12
0,549596016,13657693471,18877674,27076326,252199479,13909892950,2012-01-13
0,398033894,13600797493,16402762,26285214,264220050,13865017543,2012-01-16
0,752414186,13554355726,22761856,26111964,280336404,13834692130,2012-01-17
0,859299989,13542889550,17861248,26792987,276691495,13819581045,2012-01-18
0,617464979,13267832886,15999894,25259216,268457782,13536290668,2012-01-19
0,601393345,12680614198,17258548,27721030,268326762,12948940960,2012-01-20
0,691077225,12896393162,16236689,30450108,291879028,13188272190,2012-01-30
0,446439752,12966983775,15961103,32027185,297721032,13264704807,2012-01-31
0,484607532,12956172646,15437981,32863219,303309275,13259481921,2012-02-01
0,542130368,13017273902,18375982,33027257,306181091,13323454993,2012-02-02
0,580763555,12880264115,12110701,33473792,314369755,13194633870,2012-02-03
0,678872753,13014081536,12391085,35648454,341148366,13355229902,2012-02-06
0,609679445,13166971324,14182035,32621187,300346284,13467317608,2012-02-07
0,796161463,13108546344,15243530,31505183,317145325,13425691669,2012-02-08
0,775121892,12979377269,18453814,33186209,320932809,13300310078,2012-02-09
0,852981373,13039707139,17139278,33725540,330352393,13370059532,2012-02-10
0,766846785,13179152741,16022269,32625398,332293714,13511446455,2012-02-13
0,590244970,13226235960,12594082,33458730,351615439,13577851399,2012-02-14
0,881886089,13256686475,14386776,35724285,355334235,13612020710,2012-02-15
0,788730093,13343043362,14119532,36125063,351686735,13694730097,2012-02-16
0,660640910,13339129868,10380781,35466072,340204641,13679334509,2012-02-17
0,855308634,13379546997,19228936,42819574,368800957,13748347954,2012-02-20
0,763637743,13364373416,16167895,40487580,361016700,13725390116,2012-02-21
0,1137356794,13277608718,27013105,49206091,417989978,13695598696,2012-02-22
0,1114188935,13230988397,24931709,52637329,427842274,13658830671,2012-02-23
0,1132102648,12957234523,25984038,56338032,448791099,13406025622,2012-02-24
0,1545271934,12991121092,26717485,63218152,484617900,13475738992,2012-02-27
0,1146202717,13191068389,14945985,56996047,432632063,13623700452,2012-02-28
0,1050253827,13338286569,16701420,54671841,416357128,13754643697,2012-02-29
0,916070037,13665131507,14717581,53363398,422937051,14088068558,2012-03-01
0,1085927052,13748171989,26711327,61469372,455684692,14203856681,2012-03-02
0,1186555858,13903628983,19094020,60259359,463072117,14366701100,2012-03-05
0,1076622205,14070539103,18563258,46396158,420217027,14490756130,2012-03-06
0,962283599,14062025201,30901803,58835375,461748993,14523774194,2012-03-07
0,914223805,14154113104,20852009,62777217,484348593,14638461697,2012-03-08
0,1070531030,14203873413,18560118,59009659,487367634,14691241047,2012-03-09
0,1210079072,14463758339,20707157,63764040,472929233,14936687572,2012-03-12
0,1120507973,14651863365,18309938,64155540,493443846,15145307211,2012-03-13
0,1968994046,14728003694,34245957,55365477,430896415,15158900109,2012-03-14
0,1096146687,14797565679,30106635,54483128,440755715,15238321394,2012-03-15
0,959727088,14743837111,25232881,56173589,468744305,15212581416,2012-03-16
0,1076218780,14957800958,19050851,53316996,462388296,15420189254,2012-03-19
0,999317362,15048940749,21705999,53625812,427729868,15476670617,2012-03-20
0,1109416811,15169146280,27012556,52347695,401976446,15571122726,2012-03-21
0,719693933,15226853537,23022559,55642772,421404179,15648257716,2012-03-22
0,741168767,15186178576,16890889,46492230,388380194,15574558770,2012-03-23
0,604376201,15237668408,33159705,50740638,423686586,15661354994,2012-03-26
0,629724377,15212031913,35935814,56134963,410400970,15622432883,2012-03-27
0,865473065,15259609534,25659203,41439133,348091529,15607701063,2012-03-28
0,714200041,15239555959,42908439,42418785,371139801,15610695760,2012-03-29
0,456800389,15038617123,21646172,40553064,358044401,15396661524,2012-03-30
0,760274875,15149580217,64618412,64403203,457861771,15607441988,2012-04-05
0,630154359,15184604492,44560162,81095614,510863257,15695467749,2012-04-06
0,539234655,15136573268,28698489,86336791,515716393,15652289661,2012-04-09
0,652250204,15080301398,40792391,72899029,500926394,15581227792,2012-04-10
0,650406620,15139072889,37410013,75870360,518449411,15657522300,2012-04-11
0,901099561,15053149234,40562042,85595663,552466404,15605615638,2012-04-12
0,1039398494,15048735540,29734908,84954262,543602594,15592338134,2012-04-13
0,814422029,15182829560,21944383,84056713,545313439,15728142999,2012-04-16
0,749810193,15325896277,23132479,78843046,506052294,15831948571,2012-04-17
0,947806970,15323573621,35964004,76634929,532861100,15856434721,2012-04-18
0,879163476,15364446638,25096745,71824761,513725505,15878172143,2012-04-19
0,1005119495,15363184521,20764860,69372018,518040438,15881224959,2012-04-20
0,1086160919,15526699464,22259386,69435031,517528893,16044228357,2012-04-23
0,1114232969,15669279002,37708800,68090950,489058544,16158337546,2012-04-24
0,957849686,15643305399,28438254,76100311,524696322,16168001721,2012-04-25
0,929371123,15506229959,22717368,73561201,508918157,16015148116,2012-04-26
0,775651463,15399406399,33515885,79294556,478913165,15878319564,2012-04-27
0,1402985928,15288552485,26904901,83241533,529841367,15818393852,2012-05-02
0,1076751709,15374172906,18894701,83471399,537652714,15911825620,2012-05-03
0,1002804737,15373030363,22354567,84646373,543054680,15916085043,2012-05-04
0,1163181052,15529439264,24427406,83513497,551847990,16081287254,2012-05-07
0,985505967,15717186052,28990059,79204099,530074209,16247260261,2012-05-08
0,1041473258,15937351440,20170348,72443475,472608061,16409959501,2012-05-09
0,799347850,16009309050,22899245,71429277,476958701,16486267751,2012-05-10
0,836642614,16079168957,34691077,84726574,476558881,16555727838,2012-05-11
0,918285762,16218025756,48113417,98819367,487830085,16705855841,2012-05-14
0,804965691,16237897432,32579740,86260008,477394935,16715292367,2012-05-15
0,729650379,16344963669,20657195,76710347,446671673,16791635342,2012-05-16
0,882470314,16478828847,36785033,92225317,495766574,16974595421,2012-05-17
0,733343954,16416161062,36206029,82536741,472442259,16888603321,2012-05-18
0,798198062,16543774115,28790454,83227505,473711959,17017486074,2012-05-21
0,840914620,16604680902,55065665,102957628,539854252,17144535154,2012-05-22
0,991766083,16732560773,45162947,106390034,573953342,17306514115,2012-05-23
0,1088510124,16978998931,21448464,96515749,541046583,17520045514,2012-05-24
0,773176561,16991575857,33465626,79058457,486319319,17477895176,2012-05-25
0,980019798,16970650181,57672897,89554975,525686211,17496336392,2012-05-28
0,1393834944,16930025456,40252769,85706645,523838448,17453863904,2012-05-29
0,1114405821,17050560321,26068602,88620966,537521835,17588082156,2012-05-30
0,1243432182,17406889226,30957845,74594856,512567829,17919457055,2012-05-31
0,939752536,17395754909,22405341,71907988,490183948,17885938857,2012-06-01
0,1017445731,17495669705,32697160,57181603,454788175,17950457880,2012-06-04
0,779411517,17663975032,35565526,57553536,454746952,18118721984,2012-06-05
0,640129645,17729895124,26058072,60821183,475245122,18205140246,2012-06-06
0,589901652,17651646926,31769164,60785450,471321901,18122968827,2012-06-07
0,684986261,17604057348,28491487,55706463,478136005,18082193353,2012-06-08
0,746684877,17729968883,40628371,69766208,504403779,18234372662,2012-06-11
0,654168340,17740283946,53988184,73404636,508996745,18249280691,2012-06-12
0,874558244,17822191025,36639546,74597230,504887170,18327078195,2012-06-13
0,695389707,17781342352,42550671,81870623,508112776,18289455128,2012-06-14
0,861000960,17865357786,40712711,61723116,460086011,18325443797,2012-06-15
0,828693646,18068119897,27418535,70725184,492499933,18560619830,2012-06-18
0,727314390,18133498376,17662059,63866256,478976605,18612474981,2012-06-19
0,615584189,18168924195,14960710,64251428,472477569,18641401764,2012-06-20
0,749927084,18246649449,31481982,59688650,431919723,18678569172,2012-06-21
0,766445429,18370990168,24838685,50143506,415835298,18786825466,2012-06-25
0,653381537,18441315073,26355130,46926641,437160848,18878475921,2012-06-26
0,599932312,18499659555,55680726,68797424,475484291,18975143846,2012-06-27
0,603026464,18498084910,24326510,55156728,468773306,18966858216,2012-06-28
0,667861641,18485683824,38897909,49396803,447056114,18932739938,2012-06-29
0,904831015,18651902666,25044017,52930238,490184713,19142087379,2012-07-02
0,854947537,18777738229,50715558,64739839,522113719,19299851948,2012-07-03
0,758112504,18800585826,28256302,62086261,514959487,19315545313,2012-07-04
0,767490341,18808020262,34723585,65142938,503423416,19311443678,2012-07-05
0,1129370228,18839059484,54761852,75087656,527770580,19366830064,2012-07-06
0,1061748347,18860924852,31850868,67622847,556949700,19417874552,2012-07-09
0,770826885,18964125689,47765484,65457291,556999263,19521124952,2012-07-10
0,814644216,19019530763,59898064,72255219,574627689,19594158452,2012-07-11
0,1296116056,19081662715,81521268,100157222,594795236,19676457951,2012-07-12
0,979333106,19139246471,36767975,102904058,620295576,19759542047,2012-07-13
0,1054013558,19219929226,33090664,87202128,588593689,19808522915,2012-07-16
0,856149329,19317075167,48120900,72462844,584460638,19901535805,2012-07-17
0,1006873437,19483586632,54828184,66686151,550400326,20033986958,2012-07-18
0,1022316924,19261723330,53028976,66516272,547593512,19809316842,2012-07-19
0,806313576,19328455802,39112282,57200755,507092245,19835548047,2012-07-20
0,730098373,19428958361,32192541,63013255,512600290,19941558651,2012-07-23
0,722057739,19465925042,48509766,75003360,539747670,20005672712,2012-07-24
0,582311609,19412188975,32642064,65444304,538865448,19951054423,2012-07-25
0,744206301,19520965876,55097398,69741032,532005708,20052971584,2012-07-26
0,639589267,19385183944,30867279,68412549,521730619,19906914563,2012-07-27
0,625475887,19377838914,28213999,64779847,538223898,19916062812,2012-07-30
0,595086664,19375025396,28202020,61764208,548138318,19923163714,2012-07-31
0,671441910,19414905899,42148176,66853222,593537938,20008443837,2012-08-01
0,691992395,19508350604,53434341,80586372,568102687,20076453291,2012-08-02
0,686139108,19531960793,47644062,62815166,542213010,20074173803,2012-08-03
0,904311791,19552738943,57152483,78488121,571707394,20124446337,2012-08-06
0,877159985,19618251923,44372786,87827443,578323349,20196575272,2012-08-07
0,928868673,19648601569,29550588,89916646,603717012,20252318581,2012-08-08
0,1064909425,19793276273,32810226,86983327,598932519,20392208792,2012-08-09
0,851788796,19794186183,23044757,78847096,597349107,20391535290,2012-08-10
0,959985415,19867834001,33524831,67529715,544908662,20412742663,2012-08-13
0,881241868,19820100658,43745219,65989497,556693320,20376793978,2012-08-14
0,701696890,19732292994,43602008,71692085,582067457,20314360451,2012-08-15
0,640360537,19661716161,22705319,73597802,593205559,20254921720,2012-08-16
0,761965836,19847331802,34700685,61779611,530649313,20377981115,2012-08-17
0,727998258,19975146882,47551035,86304510,579696864,20554843746,2012-08-20
0,915246493,20174940056,60592986,101311315,607962842,20782902898,2012-08-21
0,806187119,20248197831,26943961,81354930,589506088,20837703919,2012-08-22
0,821310119,20342249262,36083333,87909712,570069870,20912319132,2012-08-23
0,761225747,20308505378,27446990,77215840,555836803,20864342181,2012-08-24
0,792523957,20304927585,39610544,72909241,538006337,20842933922,2012-08-27
0,833294884,20414320955,45553052,85103154,574373778,20988694733,2012-08-28
0,699698704,20527362217,44209035,93368347,572462237,21099824454,2012-08-29
0,898088283,20479253471,49350114,84016443,547399412,21026652883,2012-08-30
0,570852171,20537372002,48939346,85693229,538632377,21076004379,2012-08-31
0,887170850,20678417113,52668956,90168251,597591095,21276008208,2012-09-03
0,858696942,20737011764,53727432,98308475,634367765,21371379529,2012-09-04
0,757881949,20849718397,62637340,100297395,655611306,21505329703,2012-09-05
0,670863579,20897226344,34078061,91726787,620564983,21517791327,2012-09-06
0,1915182624,20768519539,107886076,117744261,596076343,21364595882,2012-09-07
0,1813424488,21047503076,50710135,104536190,631584312,21679087388,2012-09-10
0,1290066745,21346906524,54407325,96990049,626830450,21973736974,2012-09-11
0,1427128466,21486855274,46545099,93146089,636596944,22123452218,2012-09-12
0,1056958660,21557664712,32046431,88521052,600555108,22158219820,2012-09-13
0,1462911177,21635208212,43720920,74684258,588646364,22223854576,2012-09-14
0,1285143630,21820484135,40519555,68978138,536507312,22356991447,2012-09-17
0,932011698,21953858217,41593312,67757902,524050920,22477909137,2012-09-18
0,881341854,22037886262,40913231,71253680,554451244,22592337506,2012-09-19
0,1049965820,22148809027,36981412,74364389,522996057,22671805084,2012-09-20
0,883591835,22119917830,31631209,70509885,519581491,22639499321,2012-09-21
0,816901802,22050118240,77620066,95853792,611557842,22661676082,2012-09-24
0,605450289,21948429000,48205931,96423260,613432006,22561861006,2012-09-25
0,681703749,21910822381,47835399,94575878,577955902,22488778283,2012-09-26
0,1057414080,21534960136,69395656,87195187,599088583,22134048719,2012-09-27
0,1104642128,20945688773,84434369,84468842,588615426,21534304199,2012-09-28
0,1148864805,21390248716,41984110,86892843,594926100,21985174816,2012-10-08
0,1422204713,21551885430,58977039,96969799,667084426,22218969856,2012-10-09
0,1336548281,21923273900,59164656,111011331,689840212,22613114112,2012-10-10
0,1107125774,22062377987,48430333,97629602,625049265,22687427252,2012-10-11
0,1052588089,22223730923,66667066,95676487,619548790,22843279713,2012-10-12
0,1067755485,22287664855,47216757,93279265,630908480,22918573335,2012-10-15
0,1036478530,22296591587,82682328,105598284,662649932,22959241519,2012-10-16
0,1026699443,22514991820,57050757,102030323,654557120,23169548940,2012-10-17
0,1402507939,22615875471,114971312,140162597,715234722,23331110193,2012-10-18
0,1176953800,22558806877,39939499,119677920,699495133,23258302010,2012-10-19
0,1306464825,22975080980,45220245,120749020,702655979,23677736959,2012-10-22
0,1234804495,23235639268,44022990,107833164,662092125,23897731393,2012-10-23
0,1005450855,23301079500,54279286,105600020,658107521,23959187021,2012-10-24
0,1094065346,23421158735,45828154,92695338,628917182,24050075917,2012-10-25
0,1069453460,23645265399,38080374,77211412,538205474,24183470873,2012-10-26
