,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye,opDate
0,11949189614,394745974498,11236155,57763822,620476395,395366450893,2017-01-03
0,15111669330,394327908532,10668831,57911994,615399668,394943308200,2017-01-04
0,14060627375,393350744378,10984438,60645257,648842890,393999587268,2017-01-05
0,13797467633,391952345803,8052902,54472696,584344284,392536690087,2017-01-06
0,13112550223,391750039175,11537817,56296264,596182624,392346221799,2017-01-09
0,13157783401,391175614544,10468762,58168501,620521071,391796135615,2017-01-10
0,12361362225,390542979631,11533943,60529909,618242435,391161222066,2017-01-11
0,11647984852,389794524910,15121077,65290623,621970210,390416495120,2017-01-12
0,11116147615,387631682716,12087177,57985858,604390844,388236073560,2017-01-13
0,15356043369,382711116602,15134330,58960261,607145568,383318262170,2017-01-16
