,opDate,rzye,rzmre,rqyl,rqylje,rqmcl,rzrqjyzl
0,2012-12-31,59014161465,5633864416,490805859,2751605671,407517940,61765767136
1,2012-12-28,59294670143,5297737080,386182354,2460898300,384019735,61755568443
2,2012-12-27,59152544022,5373168743,361640747,2353661865,331518088,61506205887
3,2012-12-26,58354981334,5114111979,376278216,2417109460,234225185,60772090794
4,2012-12-25,57544359600,6368458672,388333500,2456222039,409792961,60000581639
5,2012-12-24,57128889679,3788187865,333460818,2257004885,296162726,59385894564
6,2012-12-21,56447787112,4689255807,307394734,2139542755,269920339,58587329867
7,2012-12-20,55689600270,4484712392,326438956,2242931415,345922585,57932531685
8,2012-12-19,54931071842,3768910786,349579396,2273481726,230855261,57204553568
9,2012-12-18,54408074635,5151252842,337189498,2270274901,300649942,56678349536
10,2012-12-17,53571995017,5541610549,330016054,2198213076,294180919,55770208093
11,2012-12-14,52791881649,5843342497,307018627,2087408295,328393870,54879289944
12,2012-12-13,52669288553,2246499161,288677886,1953468786,217352599,54622757339
13,2012-12-12,52377520737,2687398378,317828422,2098295346,267006109,54475816083
14,2012-12-11,51868905998,3125289600,306225400,2031576319,265454958,53900482317
15,2012-12-10,51306934372,3401162233,313129159,2052661137,312883081,53359595509
16,2012-12-07,51153092419,3742788183,273389625,1908057633,308254110,53061150052
17,2012-12-06,51239355809,2710160062,245045308,1773461775,274816420,53012817584
18,2012-12-05,50824143024,4221718658,260754780,1791669857,342048073,52615812881
19,2012-12-04,50719310027,1668156873,247998486,1691394679,210297671,52410704706
20,2012-12-03,50979389957,1746129421,231641500,1642665995,230229452,52622055952
21,2012-11-30,51380781508,1715103966,213227459,1534954623,272225784,52915736131
22,2012-11-29,51590830813,1428621103,216979129,1487427984,274952139,53078258797
23,2012-11-28,51839015969,1430771351,200577797,1363891223,252283104,53202907192
24,2012-11-27,52059352556,1561381214,195318232,1384086520,255616186,53443439076
25,2012-11-26,52224867623,1322180521,187498079,1366826765,234474541,53591694388
26,2012-11-23,52163842479,1543727769,184949966,1347840020,257859771,53511682499
27,2012-11-22,52326315202,1332145449,172773106,1302639373,214932697,53628954575
28,2012-11-21,52338359165,1943146103,184856026,1306569346,308581665,53644928511
29,2012-11-20,52232906651,1509399872,166143592,1208322014,225334923,53441228665
30,2012-11-19,52136377757,1674655573,166061919,1227615384,252906374,53363993141
31,2012-11-16,51842436713,1662234177,164870960,1175452798,239594991,53017889511
32,2012-11-15,51834437830,1585328945,181548847,1291515135,229951784,53125952965
33,2012-11-14,51742932659,1519967699,193814073,1331110919,272000019,53074043578
34,2012-11-13,51621569073,1885583091,190958378,1282131180,216004448,52903700253
35,2012-11-12,51537026715,1767231895,194274310,1292540521,239937283,52829567236
36,2012-11-09,51496481543,1478652032,158011064,1169277224,207705413,52665758767
37,2012-11-08,51702911891,2055487490,156054457,1160802573,224975405,52863714464
38,2012-11-07,51842199361,2051691468,159650300,1198477605,200321673,53040676966
39,2012-11-06,51683392819,2421704753,159388987,1180023770,166281041,52863416589
40,2012-11-05,51362279911,2316295635,165124083,1218018631,143928818,52580298542
41,2012-11-02,51130702397,2343570856,163272076,1181065951,147342085,52311768348
42,2012-11-01,51237157202,2617929839,159064788,1142165204,186500459,52379322406
43,2012-10-31,51559113178,1692366022,141296023,1063191973,159333903,52622305151
44,2012-10-30,51501871483,1589603973,137652090,1001355314,151389572,52503226797
45,2012-10-29,51689038799,1584953781,122834403,927847068,128121470,52616885867
46,2012-10-26,51310726506,2288657132,119586704,889943114,111326685,52200669620
47,2012-10-25,50925458666,2168295969,146078286,1100159828,139550740,52025618494
48,2012-10-24,50553991724,1887157124,154386431,1157441737,133866147,51711433461
49,2012-10-23,50268571335,2284288793,159591985,1165651473,131752963,51434222808
50,2012-10-22,49878708176,1994060503,164809687,1243452816,139669193,51122160992
51,2012-10-19,49690327417,1848948756,149291084,1170027001,135684548,50860354418
52,2012-10-18,49898366599,2447878705,172225102,1258697877,161104011,51157064476
53,2012-10-17,50073315146,1926672446,156206434,1172942823,153853715,51246257969
54,2012-10-16,49763747191,1844932312,147389523,1125348375,159267653,50889095566
55,2012-10-15,49663180778,1691218706,142655629,1090407763,113395044,50753588541
56,2012-10-12,49448638952,1908823608,129877794,1025770688,156486705,50474409640
57,2012-10-11,49440483610,2225160985,141203222,1045817724,195813581,50486301334
58,2012-10-10,48919543554,2279615232,131883103,1073263343,129690882,49992806897
59,2012-10-09,48396852337,2764492399,133467259,1092153231,146184953,49489005568
60,2012-10-08,48264741771,2310097195,119718461,969055748,115648046,49233797519
61,2012-09-28,47592602099,2247164513,101326842,932013450,155872499,48524615549
62,2012-09-27,48907506409,2351994804,107166059,931647214,184576201,49839153623
63,2012-09-26,49560420336,1300488950,93606857,887941875,140129407,50448362211
64,2012-09-25,49668053926,1347716776,90621853,910568341,119230488,50578622267
65,2012-09-24,49922439548,1719001695,87540937,837518922,152475719,50759958470
66,2012-09-21,49751841324,1769209667,85076142,816583676,139891973,50568425000
67,2012-09-20,49793080866,2140705780,87505734,802087336,131210692,50595168202
68,2012-09-19,49533570717,1837774603,86657532,814641345,123927878,50348212062
69,2012-09-18,49256955701,1754116814,81366517,767029684,126572029,50023985385
70,2012-09-17,49040117321,2558273294,94791540,817905616,146148054,49858022937
71,2012-09-14,48670194775,2806237438,98193184,837191615,157294664,49507386390
72,2012-09-13,48798184410,2208340317,96817302,830509365,127242730,49628693775
73,2012-09-12,48462868314,2739662949,101052930,822985772,162310567,49285854086
74,2012-09-11,47897803829,2580282922,110300855,796149061,110351985,48693952890
75,2012-09-10,47126249677,3477138749,119591722,886484812,112440098,48012734489
76,2012-09-07,46551429029,4336815591,126380751,899376929,227423483,47450805958
77,2012-09-06,46734326953,1608727913,101604157,878206655,135899804,47612533608
78,2012-09-05,46434490498,1632564950,94487151,866941167,125504126,47301431665
79,2012-09-04,46165761015,1753553472,91707302,825213972,136972961,46990974987
80,2012-09-03,45954941545,1669079983,90823674,816603315,110289744,46771544860
81,2012-08-31,45671816226,1075961489,84120906,747149759,94804097,46418965985
82,2012-08-30,45665093836,1463049036,87744523,740696134,129610280,46405789970
83,2012-08-29,45764570771,1325562119,90901611,774751600,98202234,46539322371
84,2012-08-28,45822985926,1503902531,101984574,806676314,147566751,46629662240
85,2012-08-27,45733961176,1623650005,84369278,752748959,109171038,46486710135
86,2012-08-24,45979785983,1394092725,74545452,739252012,91369039,46719037995
87,2012-08-23,46197832033,1650535999,84030054,741581199,122034356,46939413232
88,2012-08-22,46048682213,1477904628,75302638,712808353,73249776,46761490566
89,2012-08-21,45866054150,1670213257,78030044,714370674,98054641,46580424824
90,2012-08-20,45688473487,1336773539,70237773,687917590,79200693,46376391077
91,2012-08-17,45527705227,1327191696,69860551,676251541,71407936,46203956768
92,2012-08-16,45507584487,1199331627,69900322,704216605,54400821,46211801092
93,2012-08-15,45370226843,1603184447,72983227,723991809,62266955,46094218652
94,2012-08-14,45090974216,2023420057,72206532,705610508,97420910,45796584724
95,2012-08-13,44805453973,2193592532,72005866,723520744,104164010,45528974717
96,2012-08-10,44448470277,1847683090,74348094,775172979,80525607,45223643256
97,2012-08-09,44655608409,2042616121,80495045,807873776,96060855,45463482185
98,2012-08-08,44382355250,1651113021,81257626,811850790,82835499,45194206040
99,2012-08-07,44381161170,1916815976,76336687,793858759,70258344,45175019929
100,2012-08-06,43983961626,2086998476,82371958,803767457,99916973,44787729083
101,2012-08-03,43644324473,1253402074,86148802,792848081,81031202,44437172554
102,2012-08-02,43560657150,1272423989,109964795,892253942,102298268,44452911092
103,2012-08-01,43473512880,1328778018,87744284,846108824,93231902,44319621704
104,2012-07-31,43397313276,1164959004,87036316,819409782,95425038,44216723058
105,2012-07-30,43600788260,1195213435,82041470,773619516,88269715,44374407776
106,2012-07-27,43546606535,1164631708,82465871,776735174,90590906,44323341709
107,2012-07-26,43605874770,1117458307,81310254,805110770,84741539,44410985540
108,2012-07-25,43628637939,910461171,77500358,792767238,61189664,44421405177
109,2012-07-24,43673831708,1164984697,78452436,794241045,74363842,44468072753
110,2012-07-23,43520903617,1270199632,79265046,783217522,74122637,44304121139
111,2012-07-20,43293277130,1377290396,75563457,801988558,81879998,44095265688
112,2012-07-19,43133376716,1899781165,87830435,855940946,101789166,43989317662
113,2012-07-18,43001260903,1706983756,87308300,815806529,94063890,43817067432
114,2012-07-17,42850583006,1320741173,87962716,822312728,78146872,43672895734
115,2012-07-16,42954857532,1612756321,82744142,837478653,63438603,43792336185
116,2012-07-13,42995301769,1496117118,73569060,809010444,57872324,43804312213
117,2012-07-12,42958440250,2685529361,86725318,825305762,81076191,43783746012
118,2012-07-11,42763477754,1400213120,79346065,852955616,55472817,43616433370
119,2012-07-10,42677890401,1526392426,72108460,790231037,51222842,43468121438
120,2012-07-09,42433217425,2200692162,76491434,824026113,65970426,43257243538
121,2012-07-06,42071500783,2161091737,71524787,809180403,55643954,42880681186
122,2012-07-05,41980089686,1357113618,76724103,810716248,45976417,42790805934
123,2012-07-04,41979741991,1502115984,83797944,859659598,54962884,42839401589
124,2012-07-03,41775297474,1608081585,77988261,835347527,60616172,42610645001
125,2012-07-02,41651551679,1764735984,78605198,807498588,57944152,42459050267
126,2012-06-29,41352503305,1575175909,71843529,748286235,55266063,42100789540
127,2012-06-28,41554211158,1419503922,65864694,699842311,41151998,42254053469
128,2012-06-27,41452187393,1170928470,74432399,728466579,47294602,42180653972
129,2012-06-26,41366843299,1329392155,70170803,664880194,55891667,42031723493
130,2012-06-25,41328073117,1688930079,68561048,638598125,50582373,41966671242
131,2012-06-21,41216039765,1827369234,72266373,667886102,58747926,41883925867
132,2012-06-20,40971366211,1305051000,78687462,756005017,32590772,41727371228
133,2012-06-19,40959301472,1610403138,83848906,737452012,50150367,41696753484
134,2012-06-18,40774082626,1739591533,82028223,785854699,53460264,41559937325
135,2012-06-15,40424538156,2362756170,76271115,752573261,61302167,41177111417
136,2012-06-14,40463725268,1596178919,91731657,805817964,63646404,41269543232
137,2012-06-13,40366154559,2136093851,88006249,804450614,75040967,41170605173
138,2012-06-12,40118853209,1626998751,86829122,775286155,86560332,40894139364
139,2012-06-11,39915091233,1777895999,71278581,708140329,69193516,40623231562
140,2012-06-08,39719820736,1805598796,74578434,707825275,68552372,40427646011
141,2012-06-07,39824344326,1889737375,80374882,693817796,55219901,40518162122
142,2012-06-06,39585278444,1698621302,75901796,696908292,55559875,40282186736
143,2012-06-05,39341792121,1627172086,79361897,693111890,72500316,40034904011
144,2012-06-04,39201386102,2785005768,70592507,674920254,46517920,39876306356
145,2012-06-01,38393016442,1909782134,82324321,741659426,48880185,39134675868
146,2012-05-31,38363704389,2037759682,81459868,762840548,41239991,39126544937
147,2012-05-30,37985520066,2248621352,96936518,837500845,56907028,38823020911
148,2012-05-29,37676358273,2823201360,102682123,795978999,85831190,38472337272
149,2012-05-28,37598761062,1930551399,100085549,770434631,79788676,38369195693
150,2012-05-25,37535963602,1497066380,99344339,770189440,65466655,38306153042
151,2012-05-24,37528312047,1988441593,109119638,814032820,48564343,38342344867
152,2012-05-23,37072055664,1835455665,110405609,851734986,63951152,37923790650
153,2012-05-22,37079833553,1671466540,101272872,792549634,62123968,37872383187
154,2012-05-21,37126490787,1797956959,79977463,691025268,70327136,37817516055
155,2012-05-18,36821357488,1888308119,79483011,650247666,48150091,37471605154
156,2012-05-17,36787680964,1962619901,98072503,715905627,72488823,37503586591
157,2012-05-16,36779217694,2178812217,82716723,646127083,54455563,37425344777
158,2012-05-15,36152562663,2036097511,76164785,655470335,44423368,36808032998
159,2012-05-14,35628803242,2461641937,83330079,626430094,58276789,36255233336
160,2012-05-11,35115705765,1960511506,72634354,618124665,52964430,35733830430
161,2012-05-10,35040860645,2161721639,70736344,622693679,46438814,35663554324
162,2012-05-09,34451948648,2651766271,70429182,625816606,31970137,35077765254
163,2012-05-08,33893622504,2441135022,89363763,722745535,46747769,34616368039
164,2012-05-07,33467500884,2716734348,93667450,728200355,47121086,34195701239
165,2012-05-04,32929079712,2390138078,94427325,793584355,44620428,33722664067
166,2012-05-03,32914444024,2695216589,100602257,797696945,55100759,33712140969
167,2012-05-02,32374252299,3738262191,102616917,762654074,96784966,33136906373
168,2012-04-27,31996092316,1870375931,75102834,652371267,44197746,32648463583
169,2012-04-26,32207563433,2491763979,92790440,711808798,61307519,32919372231
170,2012-04-25,32022808570,2546857177,95956860,733448615,77263596,32756257185
171,2012-04-24,31886526859,2842912506,89615736,698699325,100606915,32585226184
172,2012-04-23,31919290664,2418725607,93581898,740475666,33113154,32659766330
173,2012-04-20,31697962487,2307629393,107583581,799575812,65626841,32497538299
174,2012-04-19,31763708953,2086454193,95252379,745588191,36252010,32509297144
175,2012-04-18,31713063485,2056222445,94973520,742347355,68153995,32455410840
176,2012-04-17,31701763328,1522188706,75021384,644509653,28548563,32346272981
