,opDate,rzye,rzmre,rqyl,rqylje,rqmcl,rzrqjyzl
0,2011-12-30,23163493473,762689122,42775775,381308271,16111293,23544801744
1,2011-12-29,23261484479,635606065,41815062,376407550,20787029,23637892029
2,2011-12-28,23227075749,640946990,39661774,363621020,26680606,23590696769
3,2011-12-27,23125457645,595501546,42098722,404473909,22763301,23529931554
4,2011-12-26,23097117469,581463956,44732221,416766360,25980338,23513883829
5,2011-12-23,23022628028,606711079,37405942,376194331,23217806,23398822359
6,2011-12-22,23156209497,712315873,37859438,379727180,25005463,23535936677
7,2011-12-21,23213182571,747255578,37184408,377163348,20155441,23590345919
8,2011-12-20,23215304975,728256469,34861389,360845947,15958852,23576150922
9,2011-12-19,23160945470,822981905,33105978,332957773,24292388,23493903243
10,2011-12-16,22960970432,860810024,30758385,305995652,21208854,23266966084
11,2011-12-15,22829426940,963186538,28592270,272303088,21056484,23101730028
12,2011-12-14,22710676753,632941142,35419573,330633736,18636350,23041310489
13,2011-12-13,22643584951,833397363,32193838,307393822,18470026,22950978773
14,2011-12-12,22525065787,554603321,33629217,347531224,14426092,22872597011
15,2011-12-09,22507138358,566831017,31101894,331965565,12314384,22839103923
16,2011-12-08,22528992922,675914693,31650642,348107592,13511857,22877100514
17,2011-12-07,22449261088,604856537,32517630,355100811,12002880,22804361899
18,2011-12-06,22413359472,596412942,30294629,323513134,12894247,22736872606
19,2011-12-05,22379650562,875782534,28770860,285651059,11485770,22665301621
20,2011-12-02,22267766625,591659988,25798251,286192505,11811426,22553959130
21,2011-12-01,22299466764,1146806646,31414320,323600241,23831887,22623067005
22,2011-11-30,22466452028,671042821,25789420,251839752,13718818,22718291780
23,2011-11-29,22518644243,523651456,23939304,243157210,6499083,22761801453
24,2011-11-28,22494897616,416782437,23766060,237443922,8508862,22732341538
25,2011-11-25,22400850427,378427898,24411174,229398872,6142342,22630249299
26,2011-11-24,22421973306,533808677,26046976,222336516,10427210,22644309822
27,2011-11-23,22381342035,531977490,25511851,226185197,7883063,22607527232
28,2011-11-22,22340596474,525422181,25818227,222145112,10996422,22562741586
29,2011-11-21,22261866663,559758089,22621233,199896201,6876944,22461762864
30,2011-11-18,22128264632,780915845,24522714,222239814,10335910,22350504446
31,2011-11-17,22110549167,648788840,26273433,227849268,7134576,22338398435
32,2011-11-16,22079287311,1219956202,26259470,239721422,9295086,22319008733
33,2011-11-15,21642895602,779370039,27080435,273247991,7269674,21916143593
34,2011-11-14,21472109836,975365770,26773711,283122754,10944894,21755232590
35,2011-11-11,21345143945,522265203,21814465,228553808,6117291,21573697753
36,2011-11-10,21382370001,988495911,24396868,251366496,8554810,21633736497
37,2011-11-09,21137377041,941665090,26167383,274341766,9004068,21411718807
38,2011-11-08,20904972932,899090697,26772166,282879218,10627240,21187852150
39,2011-11-07,20693207005,948486415,26955213,291959397,9635057,20985166402
40,2011-11-04,20425574366,1033452397,26947593,313367437,8369940,20738941803
41,2011-11-03,20365235328,1715745986,31206137,350922118,12683294,20716157446
42,2011-11-02,20094724795,1186052906,29986982,324025976,16013940,20418750771
43,2011-11-01,20008002941,1034962228,26987151,311177544,13416001,20319180485
44,2011-10-31,19901349449,848254260,28142824,289607069,12563771,20190956518
45,2011-10-28,19749284408,1317088917,24563599,280412541,14722998,20029696949
46,2011-10-27,19930731684,866055881,25870085,269320285,8478125,20200051969
47,2011-10-26,19786668727,1186801201,25867196,278027139,11895931,20064695866
48,2011-10-25,19857163052,1013477891,27805778,275098742,11529889,20132261794
49,2011-10-24,19813181984,665327297,29481990,277010395,16458480,20090192379
50,2011-10-21,20077609862,435631187,21500417,211420624,8870038,20289030486
51,2011-10-20,20274135425,763089420,19965227,202598780,12806994,20476734205
52,2011-10-19,20242841224,560816548,21272854,214840500,9326280,20457681724
53,2011-10-18,20246908676,767490712,20821522,201356530,9000481,20448265206
54,2011-10-17,20300361995,615448397,22424092,224636776,9809467,20524998771
55,2011-10-14,20400802814,566964409,18130701,173236358,7224172,20574039172
56,2011-10-13,20543903238,1004156009,19387268,189604710,10184680,20733507948
57,2011-10-12,20430753257,1268675776,20463760,197808881,17590680,20628562138
58,2011-10-11,20324309699,818716848,16966515,164383113,14579542,20488692812
59,2011-10-10,20500158665,563518759,13608090,127729044,6471754,20627887709
60,2011-09-30,20678257223,492770036,10440824,103619722,5937150,20781876945
61,2011-09-29,21137792643,607797098,11299531,114029122,8060878,21251821765
62,2011-09-28,21285200989,589898985,14122313,138656353,8666246,21423857342
63,2011-09-27,21442994144,798225193,13724995,137037016,8993687,21580031160
64,2011-09-26,21304984798,770319061,14219544,139292010,10197700,21444276808
65,2011-09-23,21359329274,725289704,13089962,120866382,8825812,21480195656
66,2011-09-22,21403223921,1069294786,14441300,130053405,4620321,21533277326
67,2011-09-21,21080852830,954136977,21524918,206591595,12898976,21287444425
68,2011-09-20,21181592617,498228852,14239386,143514609,5818837,21325107226
69,2011-09-19,21103835093,477718941,15411506,149393710,5293501,21253228803
70,2011-09-16,21020934154,481260309,14739963,152059454,3733105,21172993608
71,2011-09-15,20996390466,520749456,15301780,153849633,6723858,21150240099
72,2011-09-14,21050929175,578762129,13571790,141502534,8655411,21192431709
73,2011-09-13,21122136936,496754054,13236777,135897276,5736074,21258034212
74,2011-09-09,21041870266,456447707,11242329,123040515,4718266,21164910781
75,2011-09-08,21114896834,426969613,11230126,119523196,2851131,21234420030
76,2011-09-07,21042304936,545203523,13341862,137647700,7934344,21179952636
77,2011-09-06,21068944086,538935703,15441020,140792805,6705595,21209736891
78,2011-09-05,21003486998,544363500,15756419,151286436,4891217,21154773434
