,opDate,rzye,rzmre,rqyl,rqylje,rqmcl,rzrqjyzl
0,2017-01-16,516166619858,18744123693,468408987,3366270199,89447836,519532890057
1,2017-01-13,528892909817,14808474716,434442382,3147160699,52882035,532040070516
2,2017-01-12,533756166491,15745649736,449814088,3147374871,63277969,536903541362
3,2017-01-11,535042445743,18902724719,464150097,3257103313,89826296,538299549056
4,2017-01-10,536648846867,20212691796,466512102,3159415794,93465888,539808262661
5,2017-01-09,537718895628,20095812115,451035138,3151701673,91852042,540870597301
6,2017-01-06,537500878600,19869471573,418582234,2858333974,58039504,540359212574
7,2017-01-05,539549321455,19822922714,432558412,2988885418,73640617,542538206873
8,2017-01-04,540266946445,19600153246,411284970,2827996656,77535673,543094943101
9,2017-01-03,541086585301,16133800643,396621694,2751779090,60364739,543838364391
