,opDate,rzye,rzmre,rqyl,rqylje,rqmcl,rzrqjyzl
0,2010-12-31,8427486678,601063229,196184,4103136,364366,8431589814
1,2010-12-30,8220105721,373192568,370068,6870974,913880,8226976695
2,2010-12-29,8146359995,351203051,271488,5575964,353640,8151935959
3,2010-12-28,8010109091,405320013,269648,5729010,674382,8015838101
4,2010-12-27,7980334051,568941962,642745,7669058,1192141,7988003109
5,2010-12-24,7897318010,392595142,432130,5257608,430600,7902575618
6,2010-12-23,7817500749,375027731,659106,8295867,725400,7825796616
7,2010-12-22,7776178311,569147197,384706,4995923,627562,7781174234
8,2010-12-21,7564667757,622556317,550844,7898275,757944,7572566032
9,2010-12-20,7435701311,396781734,872930,9139721,1300196,7444841032
10,2010-12-17,7493201511,245814175,307505,3888480,436200,7497089991
11,2010-12-16,7542711921,448723342,506199,6987252,621900,7549699173
12,2010-12-15,7462794030,542387127,539843,7096652,646067,7469890682
13,2010-12-14,7373777616,598845377,1274597,12452885,1185359,7386230501
14,2010-12-13,7209404871,1038828767,841438,11021133,1088500,7220426004
15,2010-12-10,6644591506,385958637,409938,5320758,604287,6649912264
16,2010-12-09,6527614801,590322354,621644,6716150,648581,6534330951
17,2010-12-08,6287597522,397789735,394437,4904499,452850,6292502021
18,2010-12-07,6265658521,452005783,391987,6328242,708000,6271986763
19,2010-12-06,6164097438,382055879,464227,7827321,430100,6171924759
20,2010-12-03,6090572316,329387031,1749408,13480634,317400,6104052950
21,2010-12-02,5997821790,308030176,1913976,14683623,517948,6012505413
22,2010-12-01,5937744337,263690928,1900828,13522674,544289,5951267011
23,2010-11-30,5936566231,372617460,1820641,13391922,757715,5949958153
24,2010-11-29,5929259556,293264104,1809826,12689598,1604077,5941949154
25,2010-11-26,5903402929,329668655,514357,7255734,440380,5910658663
26,2010-11-25,5970633357,554239093,533304,8944840,191600,5979578197
27,2010-11-24,5822662043,435812235,417648,5899263,97800,5828561306
28,2010-11-23,5739500620,287201446,514748,7526229,229000,5747026849
29,2010-11-22,5719559877,469767361,372748,4784637,80200,5724344514
30,2010-11-19,5603612499,307385398,453648,5957617,358538,5609570116
31,2010-11-18,5825398138,358203003,272732,3358346,254548,5828756484
32,2010-11-17,5816759463,492329349,340200,4704616,387448,5821464079
33,2010-11-16,5759550131,502106601,188608,2722873,279700,5762273004
34,2010-11-15,5777852641,640509031,346400,5068891,191576,5782921532
35,2010-11-12,5535208139,697482878,422600,6708001,586997,5541916140
36,2010-11-11,5772737492,808783051,393223,8561789,225200,5781299281
37,2010-11-10,5669380056,742219805,376923,9812493,146123,5679192549
38,2010-11-09,5427122250,673362671,496500,8898349,238736,5436020599
39,2010-11-08,5205338554,747835334,690318,12687718,321475,5218026272
40,2010-11-05,4878634897,845292430,610189,12221523,147200,4890856420
41,2010-11-04,4687431943,616399880,608489,11538012,370710,4698969955
42,2010-11-03,4579337355,644200987,540018,10323308,328300,4589660663
43,2010-11-02,4470409233,771255747,393200,8514685,498653,4478923918
44,2010-11-01,4341749551,498627782,491400,10079811,200210,4351829362
45,2010-10-29,4296990516,459821357,399600,8471305,245900,4305461821
46,2010-10-28,4324880974,447080074,558536,11504878,307300,4336385852
47,2010-10-27,4269896802,614699304,563562,13273825,427230,4283170627
48,2010-10-26,4071030302,659869062,642432,16896360,311600,4087926662
49,2010-10-25,3936580107,738284867,486332,15947408,88900,3952527515
50,2010-10-22,3755121466,479643761,475332,15181865,41300,3770303331
51,2010-10-21,3596853448,449387902,677432,18477168,91500,3615330616
52,2010-10-20,3449163925,748459214,933337,21142887,194000,3470306812
53,2010-10-19,3288583583,556393938,928137,19002447,203621,3307586030
54,2010-10-18,3152329327,777043254,940407,17962007,285274,3170291334
55,2010-10-15,3074262298,763331295,1124694,20101316,669000,3094363614
56,2010-10-14,3012610812,643408502,1183133,22358972,645300,3034969784
57,2010-10-13,2945491873,511670532,739533,15999257,387000,2961491130
58,2010-10-12,2911633870,466185821,465533,12313951,123100,2923947821
59,2010-10-11,2854342169,540431173,397333,11346296,234200,2865688465
60,2010-10-08,2879844623,352236845,251233,8043235,116900,2887887858
61,2010-09-30,2846908595,230489640,187545,5757722,50300,2852666317
62,2010-09-29,2821582317,163401189,182345,4995213,26200,2826577530
63,2010-09-28,2795750305,142460313,206845,5524300,1200,2801274605
64,2010-09-27,2778508977,162672915,214245,5760387,4500,2784269364
65,2010-09-21,2724501690,73780692,233745,6292451,15500,2730794141
66,2010-09-20,2736068769,127859806,233945,6277730,48100,2742346499
