,opDate,rzye,rzmre,rqyl,rqylje,rqmcl,rzrqjyzl
0,2015-12-31,680522261155,26481517358,389898016,2110497327,25617261,682632758482
1,2015-12-30,690624418175,34774521611,387461740,2134120717,26235283,692758538892
2,2015-12-29,689699599137,28878201901,384517703,2141562769,32745600,691841161906
3,2015-12-28,690842371910,43463435651,379235236,2108756268,32431310,692951128178
4,2015-12-25,702906554042,36861998896,375090359,2152587073,25677739,705059141115
5,2015-12-24,704055938831,45768190084,379028086,2162580784,30225902,706218519615
6,2015-12-23,701576990450,66173764807,401880906,2305921763,51599272,703882912213
7,2015-12-22,694584343597,52008901722,379497194,2216629408,27847268,696800973005
8,2015-12-21,690204973913,57466371747,387937372,2273711965,42034047,692478685878
9,2015-12-18,685013347232,47396383227,370577565,2166047057,27117647,687179394289
10,2015-12-17,685514996801,48712938670,377411347,2197465782,46942828,687712462583
11,2015-12-16,687294173008,34465314026,364969521,2042483132,32766707,689336656140
12,2015-12-15,686903667749,37186068080,358313963,2022022178,24072759,688925689927
13,2015-12-14,686734828731,41328859936,370443012,2105881193,36024800,688840709924
14,2015-12-11,679172485848,28365988971,392705280,2101063966,39897286,681273549814
15,2015-12-10,680181466516,33681721847,393550719,2141678490,28977892,682323145006
16,2015-12-09,681876332446,31912185019,390034517,2123493880,23454107,683999826326
17,2015-12-08,683538869003,34153742415,393814894,2148104647,32121694,685686973650
18,2015-12-07,688643130171,34763101101,385234259,2149554072,25501351,690792684243
19,2015-12-04,689229679014,36130370822,377744415,2100381786,27582238,691330060800
20,2015-12-03,701215140017,45460715372,376325461,2150847061,30091638,703365987078
21,2015-12-02,705719889489,50746609725,378148759,2186265522,33975876,707906155011
22,2015-12-01,707573181220,41187948449,373033872,2077790582,30813241,709650971802
23,2015-11-30,705712846824,47647190662,371883683,2023533716,33414645,707736380540
24,2015-11-27,707571655449,56361735197,376670438,2061163221,37988666,709632818670
25,2015-11-26,721562735545,57063284399,372526076,2215328433,24195577,723778063978
26,2015-11-25,722871325612,50585918649,372479695,2175357594,20468421,725046683206
27,2015-11-24,724356454195,41952155661,375998490,2168170720,18347650,726524624915
28,2015-11-23,724944067772,56462012238,374923464,2170416716,20020203,727114484488
29,2015-11-20,727483864902,67868870592,377815849,2178878860,22640171,729662743762
30,2015-11-19,723677944809,53377151926,372174144,2155202427,14272579,725833147236
31,2015-11-18,718128393345,61645301015,384979790,2182866762,26764655,720311260107
32,2015-11-17,719146385419,90257897879,381601346,2208478503,23878676,721354863922
33,2015-11-16,709765973662,59783115668,377786256,2178454674,25881903,711944428336
34,2015-11-13,704017531196,76119157073,376682738,2161492893,28225311,706179024089
35,2015-11-12,704264669504,79386000166,372418079,2136717070,20899004,706401386574
36,2015-11-11,698588480945,81460138173,367078322,2105019973,13686632,700693500918
37,2015-11-10,692849446365,103276201336,371208287,2130119832,18309865,694979566197
38,2015-11-09,678846032704,114272067940,372673657,2153097052,29373118,680999129756
39,2015-11-06,657355073852,96065908261,361556937,2093561252,21716435,659448635104
40,2015-11-05,648756449213,116126616192,359542968,2064814208,22044639,650821263421
41,2015-11-04,636455607760,71377497141,363955809,2047299675,25119007,638502907435
42,2015-11-03,624641794601,32485266484,365526279,1955303083,13980500,626597097684
43,2015-11-02,624580223050,39182710955,371177740,1976302866,17635200,626556525916
44,2015-10-30,626861304247,46046145880,362957410,1984153934,10749359,628845458181
45,2015-10-29,628413061152,41575064417,368158409,2016767500,8236652,630429828652
46,2015-10-28,625971542441,51781988858,380712918,2068703219,19354621,628040245660
47,2015-10-27,628033239007,61805047765,369466382,2051580154,10231694,630084819161
48,2015-10-26,625445402262,71288228506,367271524,2039335651,10104146,627484737913
49,2015-10-23,618715633159,64264021721,367394423,2046744342,10908942,620762377501
50,2015-10-22,614855939334,56765942023,370468855,2034048338,14514477,616889987672
51,2015-10-21,609597972675,75043684698,377978484,2036721856,21703255,611634694531
52,2015-10-20,614565648086,57331561590,376760079,2093241125,15975774,616658889211
53,2015-10-19,608423367347,66704231174,371370016,2061897151,17272456,610485264498
54,2015-10-16,602483217134,67307333866,364342531,2040780928,14634022,604523998062
55,2015-10-15,600862476185,55174519045,383678231,2088067241,18192543,602950543426
56,2015-10-14,595465800492,47314578853,388244607,2049097950,17526826,597514898442
57,2015-10-13,592359492869,46417951657,384657890,2051103491,12068699,594410596360
58,2015-10-12,590826463139,66079680740,385880309,2062409620,16875892,592888872759
59,2015-10-09,573834927910,34773511196,392219396,2021609337,14676064,575856537247
60,2015-10-08,573423934505,38105508897,390126838,2010065774,12684959,575434000279
61,2015-09-30,565107689421,16667737149,383111420,1870766950,6144567,566978456371
62,2015-09-29,573430370272,19494241880,395762758,1945833567,12445887,575376203839
63,2015-09-28,578137194581,20771544015,402863318,2037096084,12470521,580174290665
64,2015-09-25,579163991185,28658919129,396562589,2003971580,9271541,581167962765
65,2015-09-24,588059276593,29077086812,396396967,2052014070,9860961,590111290663
66,2015-09-23,588155766896,31571539567,393064710,2021242749,8809288,590177009645
67,2015-09-22,590105583869,39312342594,396046839,2082180629,9943300,592187764498
68,2015-09-21,589611425721,32786118443,395252238,2059120123,9537520,591670545844
69,2015-09-18,588929671900,27492470550,397227742,2025406214,8837480,590955078114
70,2015-09-17,590467294488,45357176136,400378022,2013711808,15327924,592481006296
71,2015-09-16,588177192339,36654734196,403119490,2076672895,15983035,590253865234
72,2015-09-15,587114144804,26800136447,416115086,2037093535,15951066,589151238339
73,2015-09-14,599879253495,38443650467,420568640,2148978177,26778906,602028231672
74,2015-09-11,618850315756,32940214326,410790112,2152125434,13731927,621002441190
75,2015-09-10,619885682685,35958226095,421792143,2279414099,24070525,622165096784
76,2015-09-09,622302002741,56720402464,417691860,2290625741,22264550,624592628482
77,2015-09-08,613326503591,32848347074,424435597,2294014252,25730004,615620517843
78,2015-09-07,615872695111,42713833063,421182250,2180453879,18633460,618053148990
79,2015-09-02,606266170176,31013732169,417710441,2217686789,18465787,608483856965
80,2015-09-01,642834471301,37495050672,418349037,2242361038,23722684,645076832339
81,2015-08-31,673127713583,49354997209,438264408,2312390948,46944193,675440104531
82,2015-08-28,683118490904,59881095450,410690598,2206833724,27151623,685325324628
83,2015-08-27,685022556433,45681104014,444885202,2124421074,68989700,687146977507
84,2015-08-26,706522058254,49181259228,405021453,1942973253,39309111,708465031507
